language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
153	Khinalug	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y		SUP/GEN1	NOM	X	SUP/GEN1_NOM	Arguably, the NP in the genitive is a clause-level dependent.	aslan-ɨ kʰalla cʼɨtʰ ku-i-q-o=mä	PN-SUP/GEN1 head pain be.IPFV-PTCP-BELOW-COP=DECL	‘Aslan has a headache.’		‘У Аслана болит голова.’	This is an intermediate solution following a lengthy discussion in the original file. MRP: The word cʼɨtʰ can be used in the sense of „illness, pain”, i.e. as a noun, and in the sense of “ill, in pain”, i.e. as an adjective. Syntactically, it is used as an adjective here. MD: I would agree with Monika that the subject here is most probably ‘head’. We can check this: Aslan-Gen painful be-Ptcp hand-Sup is blood - There is blood on Aslan’s aching hand. Aslan-Gen what painful be ? If you think this is too hard on our poor consultants, let’s simply decide this is a floating genitive - I think you suggested this, right? It seems quite plausible to me.
153	Khinalug	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом		*	*	*		Not included in the database because Y is expressed as part of the predicate.	aslan gripʰ qʼ-i-q-o=mä	PN be.in.flu 1.be.PFV-PTCP-BELOW-COP=DECL	‘Aslan has the flu.’		‘Аслан болеет гриппом.’	
153	Khinalug	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а		DAT	APUD	XY	DAT_APUD		aslan-u pʰɨχra-š ɨnqʰ qʼ-i-q-o=mä	PN-DAT dog-APUD fear 4.be.PFV-PTCP-BELOW-COP=DECL	‘Aslan is afraid of the dog.’		‘Аслан боится собаки.’	
153	Khinalug	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)		ERG	NOM	TR	TR		aslan-ɨ kʼačʼɨn fatʰkʰu-i=šä=mä	PN-ERG stone 4.throw.PFV-PTCP=PST=DECL	‘Aslan threw a stone.’		‘Аслан бросил камень.’	The ergative is often homonymous with the SUP/GEN1 case, see the discussion in a separate file.
153	Khinalug	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а		DAT	NOM	X	DAT_NOM		aslan-u pʰɨl la-čːɨku-i-dä=mä	PN-DAT money TRANS:LEVEL-be_enough.IPFV-PTCP-NMLZ.3=DECL	‘Aslan has enough money.’		‘Аслану хватает денег.’	
153	Khinalug	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)		NOM	SUP/GEN1	Y	NOM_SUP/GEN1	Non-verbal predicate. Arguably, the NP in the genitive is a clause-level dependent.	aslan miχail-i uχšaš q-o=mä	PN PN-SUP/GEN1 similar_to BELOW-COP=DECL	‘Aslan resembles Mikhail.’		‘Аслан похож на Михаила.’	
153	Khinalug	7	believe	X (believe) Y	верить	X (верить)Y-у		NOM	DAT	Y	NOM_DAT	Non-verbal predicate.	aslan räsul-u inam q-o=mä	PN PN-DAT confident BELOW-COP=DECL	‘Aslan believes Rasul.’		‘Аслан верит Расулу.’	
153	Khinalug	8	take	X (take) Y	взять	X (брать) Y(-а)		ERG	NOM	TR	TR		aslan-ɨ räf-illi kʰitʰab tuv=šä=mä	PN-ERG shelf-EL book 3.take.PFV.PTCP=PST=DECL	‘Aslan took a book from the shelf.’		‘Аслан взял книгу с полки.’	
153	Khinalug	9	see	X (see) Y	видеть	X (видеть) Y(-а)		DAT	NOM	X	DAT_NOM		aslan-u cʼoa daχ-i-q-o=mä	PN-DAT house see.IPFV-PTCP-BELOW-COP=DECL	‘Aslan sees a house.’		‘Аслан видит дом.’	
153	Khinalug	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)		ERG	DAT	Y	ERG_DAT		jaš-ɨ jaddaš-u tʰäsir kʰi-tʰar=mä	age-ERG memory-DAT influence 4.do.IPFV-HABIT=DECL	‘Age influences memory.’		‘Возраст влияет на память.’	CV
153	Khinalug	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом		DAT	NOM	X	DAT_NOM		aslan-u gra rastʰ kʰa<bɨ>ʁ-q-o=mä	PN-DAT wolf straight <3>CIS.go.PFV.PTCP-BELOW-COP=DECL	‘Aslan encountered a wolf.’		‘Аслану встретился волк.’	
153	Khinalug	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)		NOM	LOC	Y	NOM_LOC		aslan maʁaza-r la-cʼ-ʁ-i=šä=mä	PN shop-LOC TRANS:LEVEL-INTO-1.go.PFV-PTCP=PST=DECL	‘Aslan entered the house.’		‘Аслан вошел в дом.’	
153	Khinalug	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а		NOM	DAT	Y	NOM_DAT		aslan räsul-u qalib kʰa-ʁ-ɨ=šä=mä	PN PN-DAT winning CIS-1.go.PFV-PTCP=PST=DECL	‘Aslan beat Rasul.’		‘Аслан выиграл у Расула.’	CV
153	Khinalug	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а		NOM	EL	Y	NOM_EL	Is this paradigmatically a dedicated INELative case? From the glosses, I see that “shop” has a non-segmentable locative form. But with a different noun (school, mosque, hospital, etc.) will we see a specialized form of INEL in a similar context?	aslan maʁaza-llɨ tʰal-tɨrʁ-ɨ=šä=mä	PN shop-EL CIS:level-1.go_out.PFV-PTCP=PST=DECL	‘Aslan went out of the shop.’		‘Аслан вышел из магазина.’	
