language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_eN	back_translation_en	glosses_ru	back_translation_ru	comms_internal
20	Lezgian_Standard	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y		GEN	ABS	X	GEN_ABS	The NP in the genitive is analyzed as a clause-level dependent by analogy with genealogically related languages.	Mehamed-an qˀil-∅ tˀa-zwa	PN-GEN голова-ABS болеть-IMPF	‘У Мехамеда болит голова.’			
20	Lezgian_Standard	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом		SBESS	ABS	X	SBESS_ABS		Mehamed-ak χuma-jar-∅ akat-nawa	PN-SBESS грипп-PL-ABS попасть-PRF	‘Мехамед болеет гриппом.’			
20	Lezgian_Standard	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а		DAT	POEL	XY	DAT_POEL		Mehamed-az kitsˀ-iqʰaj kitʃˀe-zwa	PN-DAT собака-POEL бояться-IMPF	‘Мехамед боится собаки.’			
20	Lezgian_Standard	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)		ERG	ABS	TR	TR		Mehamed-a qwan-∅ gadar-na	PN-ERG камень-ABS бросать-AOR	‘Мехамед бросил камень.’			
20	Lezgian_Standard	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а		DAT	ABS	X	DAT_ABS	Non-verbal predicate.	Mehamed-az pul-∅ bes ʒe-zwa	PN-DAT деньги-ABS достаточный быть-IMPF	‘У Мехамеда достаточно денег.’			Alternative is the POESS_ABS construction: “mehamed-aqʰ bes qˀadar pul-# awa/xa-nwa” [Мехамед-poess достаточный мера деньги-abs быть.pres /иметь-prf]
20	Lezgian_Standard	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)		ABS	DAT	Y	ABS_DAT	Non-verbal predicate.	Mehamed-∅ Marijat-az uχʃar ja	PN-ABS PN-DAT похожий быть.PRES	‘Мехамед похож на Марият.’			
20	Lezgian_Standard	7	believe	X (believe) Y	верить	X (верить)Y-у		ABS	POESS	Y	ABS_POESS	Non-verbal predicate.	Mehamed-∅ Marijat-aqʰ inanmiʃ ja	PN-ABS PN-POESS доверительный быть.PRES	‘Мехамед верит Марият.’			
20	Lezgian_Standard	8	take	X (take) Y	взять	X (брать) Y(-а)		ERG	ABS	TR	TR		Mehamed-a qˀatsˀ-alaj ktab-∅ qatʃu-na	PN-ERG полка-SREL книга-ABS взять-AOR	‘Мехамед взял книгу с полки.’			
20	Lezgian_Standard	9	see	X (see) Y	видеть	X (видеть) Y(-а)		DAT	ABS	X	DAT_ABS		Mehamed-az kˀwal-∅ akwa-zwa	PN-DAT дом-ABS видеть-IMPF	‘Мехамед видит дом.’			
20	Lezgian_Standard	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)		ERG	DAT	Y	ERG_DAT		jaʃ-ar-i zihin-diz taʔsir-da	возраст-PL-ERG память-DAT влиять-FUT	‘Возраст влияет на память.’			
20	Lezgian_Standard	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом		ABS	SRESS	Y	ABS_SRESS		Mehamed-∅ Marijat-al halt-na	PN-ABS PN-SRESS встречаться-AOR	‘Мехамед встретился с Марият.’			Alternative is the same construction with the CV verb “$9ʃ9ʃ + ‘be’”: “mehamed-# Marijat-al $9ʃ9ʃ 8!-na“ [Мехамед-abs Марият-sress встреча быть-aor]
20	Lezgian_Standard	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)		ABS	DAT	Y	ABS_DAT		Mehamed-∅ kˀwal-iz hax-na	PN-ABS дом-DAT входить-AOR	‘Мехамед вошел в дом.’			
20	Lezgian_Standard	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а		ERG	ADEL	Y	ERG_ADEL		Mehamed-a Marijat-awaj ʁalibwal-∅ qatʃu-na	PN-ERG PN-ADEL победа-ABS взять-AOR	‘Мехамед выиграл у Марият.’			CV. Alternative is the construction “ʁalib + ‘become’” used in the ABS_GENwinel” pattern: “mehamed-# Marijat-an win-el ʁalib xa-na” [Мехамед-abs Марият-gen верх-sress победный стать-aor].
20	Lezgian_Standard	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а		ABS	INEL	Y	ABS_INEL		Mehamed-∅ kˀwal-aj eqetʃˀ-na	PN-ABS дом-INEL выходить-AOR	‘Мехамед вышел из дома.’			
20	Lezgian_Standard	15	drive	X (drive) Y	гнать	X (гнать) Y-а		ERG	ABS	TR	TR		Mehamed-a kal-∅ yryʃ-diz aqyd-zawa	PN-ERG корова-ABS пастбище-DAT выгнать-IMPF	‘Мехамед гонит корову на пастбище.’			Alternative is the same pattern with the verb “hal-”: “Mehamed-a kal-# (yryʃ-diz) hal-zawa” [Мехамед-erg корова-abs (пастбище-dat) гнать-impf].
20	Lezgian_Standard	16	bend	X (bend) Y	гнуть	X (гнуть) Y		ERG	ABS	TR	TR		Mehamed-a tar-an χel-∅ akˀaʒar-na	PN-ERG дерево-GEN ветка-ABS гнуть-AOR	‘Мехамед согнул ветку.’			
20	Lezgian_Standard	17	tell	X (tell) Y	говорить	X (говорить) Y-у		ERG	DAT	Y	ERG_DAT		Mehamed-a Marijat-az laha-na	PN-ERG PN-DAT сказать-AOR	‘Мехамед сказал Марият: ...’			
20	Lezgian_Standard	18	hold	X (hold)Y	держать	X (держать) Y(-а)		ERG	ABS	TR	TR		Mehamed-a ktab-∅ qˀu-nwa	PN-ERG книга-ABS держать-PRF	‘Мехамед держит книгу.’			
20	Lezgian_Standard	19	catch_up	X (catch up) with Y	догнать	X (догонять) Y(-а)		ERG	ADESS	Y	ERG_ADESS		Mehamed-a Marijat-aw agaqˀar-na	PN-ERG PN-ADESS достичь-AOR	‘Мехамед догнал Марият.’			
20	Lezgian_Standard	20	milk	X (milk) Y	доить	X (доить) Y-а		ERG	ABS	TR	TR		Marijat-a kal-∅ atsa-na	PN-ERG корова-ABS доить-AOR	‘Марият подоила корову.’			
20	Lezgian_Standard	21	reach	X (reach) Y	достичь	X (достичь) Y-а (берега) 		ABS	ADESS	Y	ABS_ADESS		Mehamed-∅ watsˀ-un qˀer-ew agaqˀ-na	PN-ABS река-GEN берег-ADESS достичь-AOR	‘Мехамед достиг берега.’			Alternative is pattern with “qereχ-diw agaqˀ-na”, which SS can’t fully interpret.
20	Lezgian_Standard	22	touch	X (touch) Y	дотронуться	X (дотрагиваться) до Y-а		ERG	SBESS	Y	ERG_SBESS		Mehamed-a tsʰl-akʰ χkˀu-na	PN-ERG стена-SBESS тронуть-AOR	‘Мехамед дотронулся до стены.’			Раньше у меня классифицировалось как TR, видимо, просто по ошибке
20	Lezgian_Standard	23	fight	X (fight) with Y	драться	X (драться) с Y-ом		ABS	POESSgalaz	Y	ABS_POESSgalaz		Mehamed-∅ Marijat-aqʰ galaz kkˀi-zwa	PN-ABS PN-POESS с сцепиться-IMPF	‘Мехамед дерется с Марият.’			
20	Lezgian_Standard	24	be_friends	X (be friends) with Y	дружить	X (дружить) с Y-ом		ERG	POESSgalaz	Y	ERG_POESSgalaz		Mehamed-a Marijat-aqʰ galaz dustwal-∅ tuχu-zwa	PN-ERG PN-POESS с дружба-ABS нести-IMPF	‘Мехамед дружит с Марият.’			CV
20	Lezgian_Standard	25	think	X (think) about Y	думать	X (думать) об Y-е (об отце)		ERG	SBEL	Y	ERG_SBEL		Mehamed-a Marijat-akaj fikir-zawa	PN-ERG PN-SBEL думать-IMPF	‘Мехамед думает о Марият.’			
20	Lezgian_Standard	26	eat	X (eat) Y	есть	X (есть) Y		ERG	ABS	TR	TR		Mehamed-a itʃ-∅ tˀy-na	PN-ERG яблоко-ABS есть-AOR	‘Мехамед съел яблоко.’			
20	Lezgian_Standard	27	fry	X (fry) Y	жарить	X (жарить) Y		ERG	ABS	TR	TR		Mehamed-a baluʁ-∅ qawurmiʃ-na	PN-ERG рыба-ABS жарить-AOR	‘Мехамед пожарил рыбу.’			
20	Lezgian_Standard	28	wait	X (wait) for Y	ждать	X (ждать) Y-а (сына)		ERG	ABS	TR	TR		Mehamed-a Marijat-∅ gyzlemiʃ-zawa	PN-ERG PN-ABS ждать-IMPF	‘Мехамед ждет Марият.’			
20	Lezgian_Standard	29	forget	X (forget) (about) Y	забывать	X (забывать) об Y-е		GEN	ABS	X	GEN_ABS	The NP in the genitive is analyzed as a clause-level dependent by analogy with genealogically related languages.	Mehamed-an rikˀ-elaj myky reqʰ-∅ alat-na	PN-GEN сердце-SREL другой дорога-ABS уйти-AOR	‘Мехамед забыл о другой дороге.’			CV
