language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
155	Tat_Cimi	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y		OBL:GEN	DIR	X	OBL:GEN_DIR	The possessor NP displays some properties of a clause-level dependent.	aslan=ä sär=i där bäst-än	PN=OBL head=POSS:3 pain IPFV.do₂-PRS:3	‘Aslan has a headache.’			MS: this is a regular possessive NP. The two components can be separated by external material, though such cases would be pragmatically marked. See more in the discussion files.
155	Tat_Cimi	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом		OBL:DAT	DIR	X	OBL:DAT_DIR	Non-verbal predicate.	aslan=ä xunik bir-e	PN=OBL cold be₂-PRF:3	‘Aslan has the flu.’			This construction is also applicable to names of other diseases, likes, measles, cancer, etc. Alternative is a monovalent copular pattern: “aslan näčåġ=ü” [PN ill=COP:3].
155	Tat_Cimi	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а		DIR	a	Y	DIR_a		aslan ä säg bä-tärsir-än	PN from dog IPFV-fear₂-PRS:3	‘Aslan is afraid of the dog.’			
155	Tat_Cimi	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)		DIR	OBL~DIR	TR	TR		aslan sanq=ä šund	PN rock=OBL throw₂:PST:3	‘Aslan threw a stone.’			
155	Tat_Cimi	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а		OBL:GEN	DIR	X	OBL:GEN_DIR	The possessor NP displays some properties of a clause-level dependent.	aslan=ä pul=i ba-rasir-än	PN=OBL money=POSS:3 IPFV-reach₂-PRS:3	‘Now Aslan has enough money.’			MS: See above, under (1).
155	Tat_Cimi	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)		DIR	ba	Y	DIR_ba	Non-verbal predicate.	aslan bä räsul xune=yü	PN LOC PN resembling=COP:3	‘Aslan resembles Rasul.’			
155	Tat_Cimi	7	believe	X (believe) Y	верить	X (верить)Y-у		DIR	ba	Y	DIR_ba	Non-verbal predicate.	aslan bä rasul inåmiš ä-bir-än	PN LOC PN believing IPFV-be₂-PRS:3	‘Aslan believes Rasul.’			
155	Tat_Cimi	8	take	X (take) Y	взять	X (брать) Y(-а)		DIR	OBL~DIR	TR	TR		aslan ä raf kitåb vägürd	PN from shelf book take₂:PST:3	‘Aslan took a book.’			
155	Tat_Cimi	9	see	X (see) Y	видеть	X (видеть) Y(-а)		DIR	OBL~DIR	TR	TR		aslan xunä bä-dir-än	PN house IPFV-see₂-PRS:3	‘Aslan sees a house.’			
155	Tat_Cimi	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)		DIR	ba	Y	DIR_ba		yåš be yaddåš täʕsir bäst-än	age LOC memory influence IPFV.do₂-PRS:3	‘Age influences memory.’			
