language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
12	Japanese	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y	itai	NOM(NO.EXALT)	NOM	X	NOM(NO.EXALT)_NOM		watashi wa atama ga ita-i	1.SG TOP голова NOM болеть-NPST	‘У меня болит голова.’			This is a derived double-nominative construction in terms of Alpatov et al.’s grammar. In the online elicitation study, most respondents approved the binominative pattern. Alternatives are: i) “Watashi wa atama ga itam-u” [я TOP голова NOM болеть-PST] with the same NOM(NO.EXALT)_NOM pattern and ii) “Watashi wa zutsū ga su-ru [я TOP головная боль NOM VBZ-NPST], a translation that does not meet the inclusion criteria.
12	Japanese	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом	kakaru	NOM	DAT	Y	NOM_DAT		Tarō wa infuruenza ni kakat-te-i-ru	PN TOP грипп DAT come.down.with-CVB-AUX.IMPFV-NPST	‘Таро болеет гриппом.’			Alternative is the NOM_BARE construction: "Tarō wa infuruenza da." [PN TOP грипп COP.NPST]
12	Japanese	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а	kowai	NOM	NOM(NO.EXALT)	Y	NOM_NOM(NO.EXALT)		watashi wa inu ga kowa-i	1.SG TOP собака NOM бояться-NPST	‘Я боюсь собаки.’			This is a non-derived double-nominative construction in terms of Alpatov et al.’s grammar. In the online elicitation study, most respondents approved the binominative pattern. Alternatives include a constructions with the TR pattern, cf. a) “Tarō wa inu o kowa-gat-te-i-ru.” [Тароо TOP собака ACC страшный-VBZ.EVD-CVB-AUX.IMPFV-NPST] where the verb form is derived from kowai and b) “Tarō wa inu o osore-te-i-ru.” [Тароо TOP собака ACC бояться-CVB-IMPFV-NPST] where a different verb is used. The three constructions differs with respect to their evidentiality values, where the -gar morpheme signals the inferential meaning. AK: The construction with two nominative is more frequent than the TR constuction: 1,265 vs. 243.
12	Japanese	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)	nageru	NOM	ACC	TR	TR		Tarō ga ishi o nage-ta	PN NOM камень АСС бросать-PST	‘Таро бросил камень.’			
12	Japanese	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а	jūbun aru	DAT(EXALT)	NOM(NO.EXALT)	XY	DAT(EXALT)_NOM(NO.EXALT)	Non-verbal predicate.	Tarō ni wa o-kane ga j+S2bun ar-u	PN DAT TOP HON-деньги NOM достаточно быть-NPST	‘Таро хватает денег.’			The DAT marker in this sentence can be omitted due to the usual “clash” between DAT and TOP. Alternative is a construction with a different verb but the same valency pattern: “Tarō ni wa o-kane ga tari-te-i-ru.” [Тароо DAT TOP HON-деньги NOM хватать-CVB-AUX.IMPFV-NPST].
12	Japanese	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)	niru	NOM	DAT	Y	NOM_DAT		Tarō wa Hanako ni ni-te-i-ru	PN TOP PN DAT походить-CVB-AUX.IMPFV-NPST	‘Таро похож на Ханако.’			
12	Japanese	7	believe	X (believe) Y	верить	X (верить)Y-у	shinjiru	NOM	ACC	TR	TR		Tarō wa Hanako o shinji-te-i-ru	PN TOP PN ACC верить-CVB-AUX.IMPFV-NPST	‘Таро верит Ханако.’			
12	Japanese	8	take	X (take) Y	взять	X (брать) Y(-а)	toru	NOM	ACC	TR	TR		Tarō wa hon o tot-ta	PN TOP книга ACC брать-PST	‘Таро взял книгу.’			
12	Japanese	9	see	X (see) Y	видеть	X (видеть) Y(-а)	mieru	DAT(EXALT)	NOM(NO.EXALT)	XY	DAT(EXALT)_NOM(NO.EXALT)		Tarō ni wa ie ga mie-te-i-ru	PN DAT TOP дом NOM быть_видным-CVB-AUX.IMPFV-NPST	‘Таро видит дом.’			The DAT marker in this sentence can be omitted due to the usual “clash” between DAT and TOP. This sentence implies the lack of control and volition (along the lines of “The house is visible to Tarō”). An alternative that denotes a more agentive situation involves a TR pattern: “Tarō wa ie o mi-te-i-ru.” [Тароо TOP дом ACC видеть(смотреть)-CVB-AUX.IMPFV-NPST].
12	Japanese	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)	eikyō suru	NOM	DAT	Y	NOM_DAT		nenrei wa kioku ni eikyō su-ru	возраст TOP память DAT влияние VBZ-NPST	‘Возраст влияет на память.’			CV
12	Japanese	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом	au	NOM	DAT	Y	NOM_DAT		Tarō wa Hanako ni at-ta	PN TOP PN DAT встречаться-PST	‘Таро встретился с Ханако.’			Same as 73.
12	Japanese	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)	hairu	NOM	ALL	Y	NOM_DAT		Tarō wa ie ni hait-ta	PN TOP дом DAT входить-PST	‘Таро вошел в дом.’			Alternative is a construction with the ALL marker of the Y argumemt: “Tarō wa ie e hait-ta” [Тароо TOP дом ALL входить-PST]. AK: frequency data: house DAT enter – 217 vs house ALL enter - 40
12	Japanese	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а	katsu	NOM	DAT	Y	NOM_DAT		Tarō wa Hanako ni kat-ta	PN TOP PN DAT выиграть-PST	‘Таро выиграл у Ханако.’			
12	Japanese	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а	deru	NOM	ACC	TR	TR		Tarō wa ie o de-ta	PN TOP дом ACC выходить-PST	‘Таро вышел из дома.’			Alternative is the NOM_ABL construction: “Tarō wa ie kara de-ta.” [Тароо TOP дом ABL выходить-PST]. AK: With landmarks like “house”, the TR pattern is much more frequent 1,007 vs. 79, but with other types of landmakrs, things may be different.
12	Japanese	15	drive	X (drive) Y	гнать	X (гнать) Y-а	ou	NOM	ACC	TR	TR		Tarō wa ushi o ot-te-i-ru	PN TOP корова ACC гнать-CVB-AUX.IMPFV-NPST	‘Таро гонит корову.’			
12	Japanese	16	bend	X (bend) Y	гнуть	X (гнуть) Y	mageru	NOM	ACC	TR	TR		Tarō wa eda o mage-ta	PN TOP ветка ACC гнуть-PST	‘Таро согнул ветку.’			
12	Japanese	17	tell	X (tell) Y	говорить	X (говорить) Y-у	iu	NOM	DAT	Y	NOM_DAT		Tarō wa Hanako ni it-ta	PN TOP PN DAT говорить-PST	‘Таро сказал Ханако.’			Same verb as 51, different pattern.
12	Japanese	18	hold	X (hold)Y	держать	X (держать) Y(-а)	motsu	NOM	ACC	TR	TR		Tarō wa hon o mot-te-i-ru	PN TOP книга ACC держать-CVB-AUX.IMPFV-NPST	‘Таро держит книгу.’			Same as 38.
12	Japanese	19	catch_up	X (catch up) with Y	догнать	X (догонять) Y(-а)	oitsuku	NOM	DAT	Y	NOM_DAT		Tarō wa Hanako ni oitsui-ta	PN TOP PN DAT догонять-PST	‘Таро догнал Ханако.’			CV. oitsui- is derived from “ou” “chase, follow” + “tsuku” “stick to”, where the latter component defines the valency pattern for the whole CV.
12	Japanese	20	milk	X (milk) Y	доить	X (доить) Y-а	chichi o shiboru	*	*	*		Not included in the database because Y is expressed as an NP-internal modifier.	Tarō wa ushi no chichi o shibot-ta	PN TOP корова GEN молоко ACC выдавливать-PST	‘Таро подоил корову.’			CV
12	Japanese	21	reach	X (reach) Y	достичь	X (достичь) Y-а (берега) 	tsuku	NOM	DAT	Y	NOM_DAT		Tarō wa kishi ni tsui-ta	PN TOP берег DAT достигать-PST	‘Таро достиг берега.’			
