language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
23	Albanian	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y	dhemb	DAT	NOM	X	DAT_NOM		Pjetr-it i dhemb kok-a	PN-DAT.M.SG.DEF PRO.DAT.3SG ache.3SG head-NOM.F.SG.DEF	‘Pjeter has a headache.’	PN-DAT.M.SG.DEF PRO.DAT.3SG болеть.3SG голова-NOM.F.SG.DEF	‘У Пьетера болит голова.’	
23	Albanian	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом	jam i sёmurё	*	*	*		Not included in the database because Y cannot be overtly expressed. Non-verbal predicate.	Pjetr-i është i sëmurë	PN-NOM.M.SG.DEF be.3SG PA.NOM.M.SG ill	‘Pjeter has the flu.’	PN-NOM.M.SG.DEF быть.3SG PA.NOM.M.SG больной	‘Пьетер болен.’	Native speakers report that in an imperfective clause like here, it is not natural to overtly express the name of the disease. The name of the discease can be used in a perfective construction, cf. “Pjetr-in e zur-i grip-i” [Пьетер-ACC.M.SG.DEF PRO.ACC.3SG xватать-AOR.3SG грипп-NOM.M.SG.DEF] ‘Pjetr went down with the flu’ (lit. ‘The flu seized Pjeter’).
23	Albanian	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а	kam frikë	NOM	ngaNOM	Y	NOM_ngaNOM		Pjetr-i ka frikë nga qen-i	PN-NOM.M.SG.DEF have.3SG fear.ACC.M.SG.INDEF from dog-NOM.M.SG.DEF	‘Pjeter is afraid of the dog.’	PN-NOM.M.SG.DEF иметь.3SG страх.ACC.M.SG.INDEF из собака-NOM.M.SG.DEF	‘Пьетер боится собаки.’	CV
23	Albanian	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)	hedh	NOM	ACC	TR	TR		Pjetr-i e hodh-i gur-in	PN-NOM.M.SG.DEF PRO.ACC.3SG throw-AOR.3SG stone-ACC.M.SG.DEF	‘Pjeter threw a stone.’	PN-NOM.M.SG.DEF PRO.ACC.3SG бросать-AOR.3SG камень-ACC.M.SG.DEF	‘Пьетер бросил камень.’	Same as 102
23	Albanian	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а	mjaftoj	DAT	NOM	X	DAT_NOM		Pjetr-it i mjafto-jnë para-të	PN-DAT.M.SG.DEF PRO.DAT.3SG be_enough-3PL money-NOM.F.PL.DEF	‘Pjeter has enough money.’	PN-DAT.M.SG.DEF PRO.DAT.3SG хватать-3PL деньги-NOM.F.PL.DEF	‘Пьетру xватает денег.’	Less frequent alternative is “Pjetr-i i ka para të mjaftueshm-e” [Пьетер-NOM.M.SG.DEF PRO.ACC.3PL иметь.3SG деньги.ACC.F.PL.INDEF PA.NOM.PL достаточный-F] ‘Pjeter has enough money’.
23	Albanian	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)	ngjaj	NOM	DAT	Y	NOM_DAT		Pjetr-i i ngja-n Lindit-ës	PN-NOM.M.SG.DEF PRO.DAT.3SG resemble-3SG PN-DAT.F.SG.DEF	‘Pjeter resembles Lindita.’	PN-NOM.M.SG.DEF PRO.DAT.3SG быть_поxожим-3SG PN-DAT.F.SG.DEF	‘Пьетер поxож на Линдиту.’	
23	Albanian	7	believe	X (believe) Y	верить	X (верить)Y-у	besoj	NOM	DAT	Y	NOM_DAT		Pjetr-i i beso-n Lindit-ës	PN-NOM.M.SG.DEF PRO.DAT.3SG believe-3SG PN-DAT.F.SG.DEF	‘Pjeter believes Lindita.’	PN-NOM.M.SG.DEF PRO.DAT.3SG верить-3SG PN-DAT.F.SG.DEF	‘Пьетер верит Линдите.’	Same as 114
23	Albanian	8	take	X (take) Y	взять	X (брать) Y(-а)	marr	NOM	ACC	TR	TR		Pjetr-i e mor-i libr-in	PN-NOM.M.SG.DEF PRO.ACC.3SG take-AOR.3SG book-ACC.M.SG.DEF	‘Pjeter took a book.’	PN-NOM.M.SG.DEF PRO.ACC.3SG брать-AOR.3SG книга-ACC.M.SG.DEF	‘Пьетер взял книгу.’	
23	Albanian	9	see	X (see) Y	видеть	X (видеть) Y(-а)	shoh	NOM	ACC	TR	TR		Pjetr-i sheh shtëpi-në	PN-NOM.M.SG.DEF see.3SG house-ACC.F.SG.DEF	‘Pjeter sees a house.’	PN-NOM.M.SG.DEF видеть.3SG дом-ACC.F.SG.DEF	‘Пьетер видит дом.’	
23	Albanian	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)	ndikoj	NOM	neACC	Y	NOM_neACC		mosh-a ndiko-n në kujtesë	age-NOM.F.SG.DEF influence-3SG in memory.ACC.F.SG.INDEF	‘Age influences memory.’	возраст-NOM.F.SG.DEF влиять-3SG в память.ACC.F.SG.INDEF	‘Возраст влияет на память.’	
23	Albanian	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом	takohem	NOM	meACC	Y	NOM_meACC		Pjetr-i u takua me Lindit-ën	PN-NOM.M.SG.DEF REFL encounter.AOR.3SG with PN-ACC.F.SG.DEF	‘Pjeter encountered Lindita.’	PN-NOM.M.SG.DEF REFL встретиться.AOR.3SG с PN-ACC.F.SG.DEF	‘Пьетер встретился с Линдитой.’	
23	Albanian	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)	hyj	NOM	neACC	Y	NOM_neACC		Pjetr-i hyr-i në shtëpi	PN-NOM.M.SG.DEF enter-AOR.3SG in house.ACC.F.SG.INDEF	‘Pjeter entered the house.’	PN-NOM.M.SG.DEF вxодить-AOR.3SG в дом.ACC.F.SG.INDEF	‘Пьетер вошел в дом.’	
