language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal	verb_original_orthography	sentence_original_orthography
156	Gigatli	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом		AFF	NOM	X	AFF_NOM		ʕali-ba rak'a-la dala ik'it't'a reɬalla dannuwaχ-a aħmad	PN-AFF heart-SUPER FOC without night+ADD M.meet-AOR PN	‘Ali accidentally encountered Ahmad in the night.’				Г1алида Ах1мад дандч1вала (рак1алдаго гьеч1ого, къот1нов)	
156	Gigatli	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)		*	*	*		Not included in the database because Y is coded by an irregular adverbial form (more examples are needed to identify the valency pattern).	ʕali išu hinu wuƛ-i	PN home.LAT inside.LAT M.pass-AOR	‘Ali entered the house.’			CV	Г1али рокъове жаниве лъугьуна.	
156	Gigatli	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а		NOM	CONT	Y	NOM_CONT		ʕali aħmadi-č'u r-uš-a	PN PN-CONT N-win-AOR	‘Ali beat Ahmad.’				Г1али Ах1мадидаса вергьана.	
156	Gigatli	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а		NOM	EL	Y	NOM_EL		ʕali iši-nur woχa wuƛ-i	PN home.OBL-EL M.out M.pass-AOR	‘Ali went out of the house.’				Г1али рокъоса къват1иве вахъана.	
156	Gigatli	15	drive	X (drive) Y	гнать	X (гнать) Y-а		ERG	NOM	TR	TR		ʕali-di insudda zini ik-am mak'u-lu b-eχa b-utal-i	PN-ERG REFL.N cow eat-PF.PTCP.N place.OBL-SUPLAT A-out A-drive-AOR	‘Ali is driving the cow to the pasture.’				Г1алица г1ака къват1ибе гъолеб буго харибак1алде.	
156	Gigatli	16	bend	X (bend) Y	гнуть	X (гнуть) Y		ERG	NOM	TR	TR		ʕali-di ruši-ƛi hala r-ač'an-i	PN-ERG tree.OBL-INTER branch N-bend-AOR	‘Ali bent the branch.’				Г1алица г1аркьел гьет1изабула.	
156	Gigatli	17	tell	X (tell) Y	говорить	X (говорить) Y-у		ERG	APUD	Y	ERG_APUD		ʕali-di aħmadi-qi hiƛ'-i	PN-ERG PN-APUD say-AOR	‘Ali told Ahmad: ...’				Г1алица Ах1мадида «Нижехъе гьоболлъухъ вач1а», - йилан абуна.	
156	Gigatli	18	hold	X (hold)Y	держать	X (держать) Y(-а)		ERG	NOM	TR	TR		ʕali-di kodi-ni r-ic-idda quča	PN-ERG hand.OBL-LOC N-catch-PERF book	‘Ali is holding a book.’				Г1алица т1ехь ккун буго кодоб.	
156	Gigatli	19	catch_up	X (catch up) with Y	догнать	X (догонять) Y(-а)		NOM	AFF	Y	NOM_AFF		ʕali marjam-ma woχat'u ʁin-i	PN PN-AFF M.behind catch_up-AOR	‘Ali caught up with Marjam.’			CV. It is not entirely clear whether “woχat'u” is an adverb or a part of a complex flag. By analogy with other Nakh-Daghestanian languages, I preferred the former interpretation. Gilles mildly prefers a different interpretation.	Г1али Марьямида хадув гъуна.	
156	Gigatli	20	milk	X (milk) Y	доить	X (доить) Y-а		ERG	NOM	TR	TR		ʕali-di zini can-in	PN-ERG cow milk-AOR	‘Ali milked the cow.’				Г1алица г1ака беч1ч1ана.	
156	Gigatli	21	reach	X (reach) Y	достичь	X (достичь) Y-а (берега) 		NOM	INTER.LAT	Y	NOM_INTER.LAT		ʕali ɬin-ƛ bali-ƛu w-az-a	PN water-INTER side.OBL-INTER.LAT M-come-AOR	‘Ali reached the bank.’				Г1али лъарал раг1алде щвана.	
156	Gigatli	22	touch	X (touch) Y	дотронуться	X (дотрагиваться) до Y-а		NOM	CONT	Y	NOM_CONT		ʕali q'unna-č'u la ir-it'u qubɬ-i	PN wall-CONT ADD touch-SEQ get_dirty-AOR	‘Ali touched the wall and got dirty.’				Г1али гьелда хъвана ва чороклъана.	
156	Gigatli	23	fight	X (fight) with Y	драться	X (драться) с Y-ом		NOM	lali	Y	NOM_lali		aħmadi laƛi raʁid-eet'u ida ʕali	PN COM fight-IPF.CV COP PN	‘Ali is fighting with Ahmad.’				Г1али вагъулев вуго Ах1мадгун.	
156	Gigatli	24	be_friends	X (be friends) with Y	дружить	X (дружить) с Y-ом		POSS	lali	XY	POSS_lali	Non-verbal predicate. The possessor NP displays some properties of a clause-level dependent.	ʕali-ƛ hudulɬi ida aħmadi laƛi	PN-INTER friendship COP PN COM	‘Ali is friends with Ahmad.’			G.A. confirmed that the NP in the INTER form is separable.	Г1алил гьудуллъи буго Ах1мадилгун.	
156	Gigatli	25	think	X (think) about Y	думать	X (думать) об Y-е (об отце)		NOM	POSS	Y	NOM_POSS	Non-verbal predicate. The possessor NP displays some properties of a clause-level dependent.	ʕali marjam-ƛi urʁi-la ida	PN PN-INTER thought-SUPER COP	‘Ali is thinking about Marjam.’			G.A. confirmed that the NP in the INTER form is separable.	Г1али Марьямил пикрабазда вуго.	
156	Gigatli	26	eat	X (eat) Y	есть	X (есть) Y		ERG	NOM	TR	TR		ʕali-di mic'iči am-i	PN-ERG apple eat-AOR	‘Ali ate an apple.’				Г1алица г1еч квана.	
156	Gigatli	27	fry	X (fry) Y	жарить	X (жарить) Y		ERG	NOM	TR	TR		ʕali-di čuʕa b-ez-a	PN-ERG fish A-fry-AOR	‘Ali fried the fish.’				Г1алица ччуг1а бежана.	
156	Gigatli	28	wait	X (wait) for Y	ждать	X (ждать) Y-а (сына)		NOM	APUD	Y	NOM_APUD		ʕali aħmad-iq ƛ'i-it'u wuʁ-it'u ida	PN PN-APUD look-SEQ M.stay-SEQ COP	‘Ali is waiting for Ahmad.’				Г1али Ах1мадихъ валагьун ч1ун вуго.	
156	Gigatli	29	forget	X (forget) (about) Y	забывать	X (забывать) об Y-е		AFF	NOM	X	AFF_NOM		ʕali-ba bečuč-adda sesi-m miq'i	PN-AFF forget-PERF this_of_two-N road(A)	‘Ali forgot about the other road.’				Г1алида к1очон тана цогидаб нух.	
156	Gigatli	30	depend	X (depend) on Y	зависеть	X (зависеть) от Y-а		*	*	*		Not included in the database because the translation deviates too far from the stimulus sentence.	rak'alla anɬi b-iʁ-i adan-ɬa gabileɬi-č'u baʔidi-b ida	heart.SUPER thing(A) A-stand-AOR man-DAT old_age-CONT depending-A COP	‘Things remain in one's memory depending on their age.’			G.A.: This means literally “les choses sont restées / restent (AOR) sur le coeur à la personne selon son âge”.	Рак1алда жо ч1ей чиясул ригьалда бараб буго.	
156	Gigatli	31	call	X (call) Y	звать	X (звать) Y-а		ERG	NOM	TR	TR		ʕali-di wal-i aħmad	PN-ERG M.call-AOR PN	‘Ali called Ahmad.’				Г1алица ах1ана Ах1мад.	
156	Gigatli	32	get_to_know	X (get to know) Y	знакомиться	X (знакомиться) с Y-ом		ERG	lali	Y	ERG_lali		ʕali-di aħmadi laƛi sese-b b-eχ-ur ih-i ser reš-ƛi seq	PN-ERG PN COM each-a A-know-MSD do-AOR one.N year.OBL-INTER before	‘Ali got to know Ahmad a year ago.’				Г1алица Ах1мадилгун лъай-хъвай гьабуна цо соналъ цебе.	
156	Gigatli	33	know	X (know) Y	знать 	X (знать) Y-а		AFF	NOM	X	AFF_NOM		ʕali-ba aħmad wuχ-uda	PN-AFF PN M.be_glad-EVT	‘Ali knows Ahmad.’				Г1алида Ах1мад лъала.	
156	Gigatli	34	play#instrument#	X (play) Y	играть	X (играть) на Y-е		ERG	NOM	TR	TR	This structure is binominative because of the TAM form. The verb is transitive.	ʕali ida gitara qor-eet'u	PN COP guitar scratch-IPF.CV	‘Ali is playing the guitar.’				Г1али вуго гитара хъвалев.	
156	Gigatli	35	avoid	X (avoid) Y	избегать	X (избегать) Y-а		NOM	CONTwoxa	Y	NOM_CONTwoxa	“Woχa” functions as a postposition here.	ʕali c'ar-eeda aħmadi-č'u woχa	PN flee-PRS PN-CONT M.out	‘Ali avoids Ahmad.’				Г1али лъутулев вуго Ах1мадидаса.	
156	Gigatli	36	make	X (make) Y	изготовить	X (изготовить) Y		ERG	NOM	TR	TR		ʕali-di hek'ačib hib-ila gudur ih-i	PN-ERG mouse.PL.nom kill-INF trap do-AOR	‘Ali made a mousetrap.’				Г1алица г1унк1к1ал кквезе гудур гьабуна.	
156	Gigatli	37	make_fun	X (make fun) of Y	издеваться	X (издеваться) над Y-ом		NOM	AFF	Y	NOM_AFF		ʕali aħmad-iba woɬic-eet'u ida	PN PN-AFF M.make_fun-IPF.CV COP	‘Ali is making fun of Ahmad.’				Г1али Ах1мадида т1ад велъанхъулев вуго.	
156	Gigatli	38	have	X (have) Y	иметь	X (иметь) Y		POSS	NOM	X	POSS_NOM	Non-verbal predicate.	ʕali-b mašina ida	PN-A car(A) COP	‘Ali has a car.’			The possessor NP displays some properties of a clause-level dependent.	Г1алил машина буго.	
156	Gigatli	39	look_for	X (look for) Y	искать	X (искать) Y(-а)		ERG	NOM	TR	TR	This structure is binominative because of the TAM form. The verb is transitive.	ʕali rič'amadir šun-eet'u ida	PN key.PL look_for-IPF.CV COP	‘Ali is looking for the keys.’				Г1али к1улал ралагьулев вуго.	
156	Gigatli	40	paint	X (paint) Y	красить	X (красить) Y		ERG	CONT	Y	ERG_CONT		ʕali-di hanq'u hini χar-at'u c'ab-ibur č'ant'iba-č'u lažbar ɬar-i	PN-ERG house inside turn-SEQ press-PF.PTCP.N stick.PL.OBL-CONT paint smear-AOR	‘Ali painted the fence surrounding the house.’				Г1алица чалиялда лажбар бахана.	
156	Gigatli	41	bite	X (bite) Y	кусать	X (кусать) Y-а		ERG	CONT	Y	ERG_CONT		ʕali-č'u χoj-di q'am-i	PN-CONT dog-ERG bite-AOR	‘A dog bit Ali.’				Г1алида х1анч1ана гьоялъ.	
156	Gigatli	42	forfeit	X (lose) Y	лишаться	X (лишаться) Y-а		NOM	CONTEL	Y	NOM_CONTEL		ʕali hanq'u-č'ur maħrumɬ-i	PN house-CONTEL be_deprived-AOR	‘Ali lost his house.’				Г1али мах1румлъана рукъалдаса.	
156	Gigatli	43	try_to_catch	X (try to catch) Y	ловить	X (ловить) Y(-а)		ERG	NOM	TR	TR	This structure is binominative because of the TAM form. The verb is transitive.	žedu b-ic-eet'u ida ʕali	cat A-catch-IPF.CV COP PN	‘Ali is trying to catch the cat.’				Г1али вуго кето кколев.	
156	Gigatli	44	break	X (break) Y	ломать	X (ломать) Y		ERG	NOM	TR	TR		ʕali-di ʕansa baqan-i	PN-ERG stick(A) A.break-AOR	‘Ali broke a stick.’				Г1алица т1ил бекана.	
156	Gigatli	45	flatter	X (flatter) Y	льстить	X (льстить) Y-у		*	*	*		Not included in the database because the translation deviates too far from the stimulus sentence.	ʕali-di seχur χunt'u recci la ih-it'u masqara-ɬa j-ic-i marjam	PN-ERG in_front.EL after praise add do-SEQ joke-DAT F-catch-AOR PN	‘Ali deceived Marjam by pretending to praise her.’			‘Ali deceived Marjam by pretending to praise her.’	Г1алица реццалдалъун гуккулей йиго Марьям.	
156	Gigatli	46	love1	X (love) Y	любить-1	X (любить) Y-а (сына)		DAT	NOM	X	DAT_NOM		ʕali-ɬa marjam boƛ'-idda	PN-DAT PN love-PERF	‘Ali loves Marjam.’				Г1алие Марьям йокьула.	
156	Gigatli	47	wave	X (wave) Y	махать	X (махать) Y-ом		ERG	NOM	TR	TR		ʕali-di jajluq xoʕid-eet'u ida	PN-ERG handkerchief wave-IPF.CV COP	‘Ali is waving a handkerchief.’				Г1алица квербац1 хьваг1улеб буго.	
156	Gigatli	48	dream	X (dream) of Y	мечтать	X (мечтать) об Y-е		NOM	POSS	Y	NOM_POSS	Non-verbal predicate. The possessor NP displays some properties of a clause-level dependent.	ʕali c'in mašina-ƛi pikraba-la ida	PN new car(A)-INTER thought.PL.OBL-SUPER COP	‘Ali is dreaming of a new car.’				Г1али ц1ияб машинаялъул анищазда вуго.	
156	Gigatli	49	wash	X (wash) Y	мыть	X (мыть) Y		ERG	NOM	TR	TR		ʕali-di žazu buč-an	PN-ERG bowl N.wash-AOR	‘Ali washed the cup.’				Г1алица чашка чурана.	
156	Gigatli	50	put_on	X (put_on) Y	надевать	X (надевать) Y		ERG	NOM	TR	TR		ʕali-di bat'a r-iƛ'-an	PN-ERG trousers N-wear-AOR	‘Ali put on his trousers.’				Г1алица т1ажу рет1ана.	
156	Gigatli	51	be_called	X (be_called) Y	называться	X (называться) Y		*	*	*		Not included in the database because X is expressed as an NP-internal modifier.	a-r raʁan-ɬi-ƛ c'eri q'ilba ida	prox-N thing(A)-OBL-INTER name compass COP	‘This thing is called a compass.’				Гьеб т1аг1елалда ц1ар компас бугилан.	
156	Gigatli	52	punish	X (punish) Y	наказывать	X (наказывать) Y-а		ERG	AFF	Y	ERG_AFF		ʕali-di wohu-w ʕadlu ih-i	PN-ERG son.OBL-AFF justice do-AOR	‘Ali punished his son.’			CV	Г1алица васасе г1адлу гьабуна.	
156	Gigatli	53	attack	X (attack) Y	напасть	X (нападать) на Y-а		NOM	AFFhilu	Y	NOM_AFFhilu	“hilu” functions as a postposition here.	čuʕa r-ic-aʁubus-ba hilu k'anz-idda sinhi	fish N-catch-IPF.PTCP.OBL.M-AFF up jump-PERF bear	‘A bear attacked a fisherman.’				Ччуг1ихъанасде т1аде ци к1анц1ана.	
156	Gigatli	54	fill#intr#	X (fill) with Y	наполняться	X (наполняться) Y-ом		NOM	POSS	Y	NOM_POSS		ɬin-ƛ wedro b-izzal-i	water-INTER pail(A) A-fill.caus-AOR	‘The bucket filled with water.’				Ведро лъел ц1уна.	
156	Gigatli	55	find	X (find) Y	находить	X (находить) Y(-а)		DAT	NOM	X	DAT_NOM		ʕali-ɬa rič'amadir r-is-an	PN-DAT key.PL N-find-AOR	‘Ali found his keys.’				Г1алида к1улал ратана.	
156	Gigatli	56	be_short	X (be short) Y	недоставать	X-у (недоставать) Y-a		DAT	NOM	X	DAT_NOM		ʕali-ɬa seb dolar b-uχ-int'u ik'i	PN-DAT one.A dollar(A)-be_enough-SEQ NEG.COP	‘Ali is one dollar short.’				Г1алие цо доллар г1олеб гьеч1о (камун буго).	
156	Gigatli	57	hate	X (hate) Y	ненавидеть	X (ненавидеть) Y-а		*	*	*		No satisfactory translation has been obtained.	*	*	*				*	
156	Gigatli	58	like	X (like) Y	нравиться	X-у (нравиться) Y		AFF	NOM	X	AFF_NOM		ʕali-ba u-l χinču bercina-l haʔ-adda	PN-AFF MED-5 dress(5) beautiful-5 see-PERF	‘Ali likes this shirt.’				Г1алида гьаб горде берцин бихьун буго.	
156	Gigatli	59	need	X (need) Y	нуждаться	X (нуждаться) в Y-е		DAT	NOM	X	DAT_NOM		ʕali-ɬa asi b-uq'-ut'u ida	PN-DAT money A-want-SEQ COP	‘Ali needs money.’				Г1алие г1арац къвариг1ун буго.	
156	Gigatli	60	surround	X (surround) Y	окружать	X (окружать) Y (стена город)		NOM	AFFbeqi	Y	NOM_AFFbeqi	Arguably, this is a transimpersonal construction where the potential agent is not overt.	šahar-a-ba beqi q'unna ih-eet'u ida	town-OBL-AFF around wall do-IPF.CV COP	‘Walls surround the city.’				Шагьар сверун къед бан буго.	
156	Gigatli	61	remain	X (have) Y left	оставаться	у X-а (оставаться) Y		CONT	NOM	X	CONT_NOM		ʕali-č'u hazzada dolar b-eχ-un	PN-CONT ten dollar(A) A-remain-AOR	‘Ali has ten dollars left.’				Г1алил 10 доллар хут1ана.	
156	Gigatli	62	answer	X (answer) Y	отвечать	X (отвечать) Y-у		ERG	DAT	Y	ERG_DAT		ʕali-di insudda muʕalim-ɬa žawab ič-i	PN-ERG REFL.N teacher-DAT answer give-AOR	‘Ali answered the teacher.’				Г1алимасе жаваб кьуна.	
156	Gigatli	63	open	X (open) Y	открывать	X (открывать) Y		ERG	NOM	TR	TR		ʕali-di banka χob-i	PN-ERG jar open-AOR	‘Ali opened a can.’				Г1алица банка рагьана.	
156	Gigatli	64	be_different	X (be different) from Y	отличаться	X (отличаться) от Y-а		NOM	CONTEL	Y	NOM_CONTEL	Non-verbal predicate.	di-l χinču du-ɬi-č'ur bat'e-l ida	1.OBL-5 dress(5) 2SG.OBL-OBL-CONTEL different-5 COP	‘My shirt is different from yours.’				дир горде дуралдаса бат1ияб буго.	
156	Gigatli	65	fall_behind	X (fall behind) Y	отстать	X (отставать) от Y-а		NOM	CONTEL	Y	NOM_CONTEL		ʕali aħmadi-č'ur woχa woχ-un	PN PN-CONTEL M.back M.remain-AOR	‘Ali fell behind Ahmad.’			CV	Г1али Ах1мадидаса нахъа хут1ана.	
156	Gigatli	66	plough	X (plough) Y	пахать	X (пахать) Y		ERG	NOM	TR	TR		ʕali-di χuša r-eƛ'-eeda	PN-ERG field N-plow-PRS	‘Ali is ploughing the field.’				Г1алица хур бекьулеб буго.	
156	Gigatli	67	smell	X (smell) like / of Y	пахнуть	X (пахнуть) Y-ом		*	*	*		Not included in the database because Y is expressed as an NP-internal modifier.	di-r reliba-č'ur benzin-ƛi hun ida	1.OBL-N hand.PL.OBL-CONTEL oil-INTER smell COP	‘My hands smell of gasoline.’				Дир кверазда бензадул мах1 буго.	
156	Gigatli	68	cross	X (cross) Y	пересечь	X (пересекать) Y (улицу) 		ERG	NOM	TR	TR		ʕali-di miq'i b-uq'-u	PN-ERG road(A) A-cut-AOR	‘Ali crossed the road.’				Г1алица нух бахана.	
156	Gigatli	69	sing	X (sing) Y	петь	X (петь) Y		ERG	NOM	TR	TR		ʕali-di bercina-b keč' aħid-i	PN-ERG beautiful-A song sing-AOR	‘Ali sang a beautiful song.’				Г1алица берцинаб кеч1 ах1ана.	
156	Gigatli	70	write	X (write) Y	писать	X (писать) Y		ERG	NOM	TR	TR		ʕali-di kaʁat qor-i	PN-ERG letter(A) write-AOR	‘Ali wrote a letter.’				Г1алица кагъат хъвана.	
156	Gigatli	71	drink	X (drink) Y	пить	X (пить) Y		ERG	NOM	TR	TR		ʕali-di sijun χud-i	PN-ERG milk drink-AOR	‘Ali drank the milk.’				Г1алица рахь гьекъана.	
156	Gigatli	72	melt	X (melt) Y	плавить	X (плавить) Y		ERG	NOM	TR	TR		ʕali-di tuša-ƛ kusok b-izan-i	PN-ERG lead-INTER piece A-melt-AOR	‘Ali melted a piece of lead.’				Г1алица т1ухьидул кесек биинабуна.	
156	Gigatli	73	match	X (match) Y	подходить	X (подходить) к Y-у (пояс к платью)		NOM	DAT	Y	NOM_DAT		a-r račal di-r paltu-ɬa dannuruk-eeda	PROX-N belt 1.OBL-N coat-DAT N.fit-PRS	‘This belt goes well with my dress.’				гьаб рачел дир пальтоялде данде кколеб буго.	
156	Gigatli	74	leave	X (leave) Y	покидать	X (покидать) Y(-а)		ERG	NOM	TR	TR		ʕali-di insudda χiri-b šahar b-et-a	PN-ERG REFL.N native-A town A-leave-AOR	‘Ali left his native city.’				Г1алица г1агараб шагьар тана.	
156	Gigatli	75	cover	X (cover) Y	покрывать	X (покрывать) Y		ERG	NOM	TR	TR		t'ansi-di idiʕagi hac'ar mak'a c'at'al-eeda	carpet.PL-ERG whatever down place(A) cover-PRS	‘The carpet covers the whole floor.’				Т1убанго ч1абар бацун буго халичаялъ.	
156	Gigatli	76	remember	X (remember) Y	помнить	X (помнить) Y-а		AFF	NOM	X	AFF_NOM	Non-verbal predicate.	ʕali-ba insudda hanq'u huɬqa rak'alla ida	PN-AFF REFL.N house well heart.SUPER COP	‘Ali remembers the house well.’				Г1алида рукъ ц1акъ лъик1 рак1алда буго.	
156	Gigatli	77	help	X (help) Y	помочь	X (помогать) Y-у		ERG	DAT	Y	ERG_DAT		ʕali-di marjam-ɬa kumaki ih-i	PN-ERG PN-DAT help do-AOR	‘Ali helped Marjam.’			CV	Г1алица Марьямие кумек гьабуна.	
156	Gigatli	78	understand	X (understand) Y	понимать	X (понимать) Y		AFF	NOM	X	AFF_NOM		ʕali-ba franc'uza-du-b mic'i bič'-ida	PN-AFF French-PL.OBL-A language(A) understand-EVT	‘Ali understands French.’				Г1алила паранг мац1 бич1ч1ула.	
156	Gigatli	79	hit#target#	X (hit) Y	попасть	X (попадать) в Y (молния в дом)		NOM	CONT	Y	NOM_CONT		hanq'u-č'u anziquča r-aχ-a	house-CONT thunder N-hit-AOR	‘Lightning struck the house.’				Рукъалда пири реч1ч1ана.	
156	Gigatli	80	cut_oneself	X (cut oneself) with Y	порезаться	X (резаться) Y-ом		*	*	*		Not included in the database because the translation deviates too far from the stimulus sentence.	ʕali-r rela r-uq'-u mizat'u χan-ab besna-di	PN-N hand N-cut-AOR beard shave-PF.PTCP(A) knife(A).OBL-ERG	‘Ali cut himself with a razor.’				Г1алил квер къот1ана алмасалъ.	
156	Gigatli	81	get_stuck	X (get stuck) to Y	прилипать	X (прилипать) к Y-у		NOM	CONThila	Y	NOM_CONThila		ist'ak'an ustul-č'u hila rek'-it'u b-iʁ-i	glass table-CONT on stick-SEQ A-stand-AOR	‘The glass got stuck to the table.’			CV	Стакан столалда рек1ана (рек1ун ч1ана).	
156	Gigatli	82	lose#game#	X (lose) to Y	проиграть	X (проиграть) Y-у		NOM	CONT	Y	NOM_CONT		ʕali aħmadi-č'u wuʁ-an	PN PN-CONT M.stay-AOR	‘Ali lost to Ahmad.’				Г1али къуна Ах1мадикьа.	
156	Gigatli	83	be_glad	X (be glad) about Y	радоваться	X (радоваться) Y-у		*	*	*		Not included in the database because Y is expressed as an NP within a dependent clause.	ʕali kaʁat b-eʔ-t'u-č'u wuχ-i	PN letter(A) A-come-SEQ-CONT M.be_glad-AOR	‘Ali was glad when the letter arrived.’				Г1али кагътидаса вохана.	
156	Gigatli	84	speak	X (speak) with Y	разговаривать	X (разговаривать) с Y-ом		NOM	lali	Y	NOM_lali		ʕali aħmadi laƛi gull-eet'u ida	PN PN COM speak-IPF.CV COP	‘Ali is speaking with Ahmad.’				Г1али Ах1мадгун гаргадилев (к1алъалев) вук1ин.	
156	Gigatli	85	give_birth	X (give birth) to Y	рожать	X (рожать) Y-а		ERG	NOM	TR	TR		marjami-di woša w-aχ-an	PN-ERG son M-be_born-AOR	‘Marjam gave birth to a son.’				Марьямица вас гьавуна.	
156	Gigatli	86	drop	X (drop) Y	ронять	X (ронять) Y		CONT	NOM	X	CONT_NOM		ʕali-č'u ist'ak'an b-uk-u	PN-CONT glass A-fall-AOR	‘Ali dropped the glass.’				Г1алихъа стакан бортана.	
156	Gigatli	87	govern	X (govern) Y	руководить	X (руководить) Y		ERG	POSS	Y	ERG_POSS	The possessor NP displays some properties of a clause-level dependent.	ʕali-di isir hani-ƛ uniɬir ih-ida	PN-ERG our.EXCL.N village-INTER leadership do-EVT	‘Ali runs our village.’			CV	Г1алица нижер росдае нухмалъи гьабула.	
156	Gigatli	88	miss	X (miss) Y	скучать	X (скучать) по Y-у		NOM	APUD	Y	NOM_APUD		ʕali marjam-qi urq-ant'u ida	PN PN-APUD follow-SEQ COP	‘Ali misses Marjam.’				Г1алил Марьямиде рак1 щун буго.	
156	Gigatli	89	follow	X (follow) Y	следовать	X (следовать) за Y-ом		NOM	AFFwoxatu	Y	NOM_AFFwoxatu	Non-verbal predicate.	ʕali marjam-ma woχat'u ida	PN PN-AFF M.behind COP	‘Ali follows Marjam.’			“woχat'u” functions as a postposition here.	Г1али Марьямида хадув вуго.	
156	Gigatli	90	dismount	X (get down) from Y	слезать	X (слезать) с Y-a (с лошади)		NOM	CONThilu	Y	NOM_CONThilu	“hiƛ'u” functions as a postposition here.	ʕali č'atu-č'u hiƛ'u wuƛ-i	PN horse-CONT down.LAT M.pass-AOR	‘Ali got down from the horse.’				Г1али чодаса гъоркье лъугьана.	
156	Gigatli	91	listen	X (listen) to Y	слушать	X (слушать) Y		NOM	APUD	Y	NOM_APUD		ʕali radio-qi ʕenek-ib ida	PN radio-APUD listen-PF.PTCP(A) COP	‘Ali is listening to radio.’				Г1али радиоялъухъ г1енеккун вуго.	
156	Gigatli	92	obey	X (obey) Y	слушаться	X (слушаться) Y-a		NOM	APUD	Y	NOM_APUD		ʕali ilu-qi ʕenek-ida	PN mother.OBL-APUD listen-EVT	‘Ali  listens to his mother.’				Г1али эбелалъухъ г1енеккула.	
156	Gigatli	93	hear	X (hear) Y	слышать	X (слышать) Y		AFF	NOM	X	AFF_NOM		ʕali-ba bercina-r maq'ar ruɬ-eet'u ida	PN-AFF beautiful-N tune hear-IPF.CV COP	‘Ali hears a beautiful melody.’				Г1алида бакъан раг1улеб буго.	
