language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal	verb_original_orthography	sentence_original_orthography
156	Gigatli	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y		POSS	NOM	X	POSS_NOM		ʕali-ƛ uni šal-eet'u ida	PN-INTER head be_sick-IPF.CV COP	‘Ali has a headache.’				Г1алил бет1ер унтун буго.	
156	Gigatli	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом		NOM	ERG(NON.CORE)	Y	NOM_ERG(NON.CORE)		ʕali hanibak'ul-di šal-eet'u ida	PN flu.OBL-ERG be_sick-IPF.CV COP	‘Ali has the flu.’				Г1али къват1ул унтиялъ унтун вуго.	
156	Gigatli	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а		NOM	CONT	Y	NOM_CONT		ʕali χoj-č'u ɬib-eeda	PN dog-CONT fear-PRS	‘Ali is afraid of the dog.’				Г1али х1инкъун вуго гьоялъукьа.	
156	Gigatli	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)		ERG	NOM	TR	TR		ʕali-di hinza r-eq-u	PN-ERG stone N-throw-AOR	‘Ali threw a stone.’				Г1алица гамач1 рехана.	
156	Gigatli	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а		DAT	NOM	X	DAT_NOM		ʕali-ɬa asi b-uχ-inda	PN-DAT money A-be_enough-PERF	‘Ali has enough money.’				Г1алие г1арац г1олеб буго.	
156	Gigatli	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)		NOM	AFF	Y	NOM_AFF		ʕali ħažidadi-ba w-aɬ-in-o ida	PN PN.OBL-AFF M-resemble-EVT.PTCP-M COP	‘Ali resembles Hajidat.’				Г1али Х1ажидадада ралълъарав вуго.	
156	Gigatli	7	believe	X (believe) Y	верить	X (верить)Y-у		NOM	AFF	Y	NOM_AFF		ʕali aħmad-iba buz-ida	PN PN-AFF believe-EVT	‘Ali believes Ahmad.’				Г1али Ах1мадида божула.	
156	Gigatli	8	take	X (take) Y	взять	X (брать) Y(-а)		ERG	NOM	TR	TR		ʕali-di cele-č'u hilur quča r-iχ-i	PN-ERG shelf.OBL-CONT on.EL book N-take-AOR	‘Ali took a book from the shelf.’				Г1алица т1ехь босана полкаялдаса.	
156	Gigatli	9	see	X (see) Y	видеть	X (видеть) Y(-а)		AFF	NOM	X	AFF_NOM	Arguably, "-b" is simply a truncated version of the AFFsuffix (-ba).	ʕali-b hanq'u haƛ-eet'u ida	PN-AFF house see-IPF.CV COP	‘Ali sees a house.’				Г1алида рукъ бихьулеб буго.	
156	Gigatli	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)		NOM	CONT	Y	NOM_CONT	The identification of the valency pattern here is tentative. 	rak'alla anɬi b-iʁ-it't'a b-aʁa-d-ir-č'u baʔidi-b ida	heart.SUPER thing(A) A-stand-NEG.SEQ HPL-PL.get.old-DUR-MSD-CONT depending-A COP	‘(The fact) that one does not remember things depends on the age’			This sentence means ‘(The fact) that one does not remember things depends on the age’. Ideally, a structure with the X argument expressed by a NP should be elicited.	Рак1алдач1ей ригьалда бараб буго.	
