language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
53	Hungarian	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y	fáj	DAT	NOM	X	DAT_NOM		Péter-nek fáj a fej-e	PN-DAT hurts the head-POSS.3SG	‘Péter has a headache.’			
53	Hungarian	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом	van	DAT	NOM	X	DAT_NOM		Péter-nek tüdőgyulladás-a van	PN-DAT pneumonia-POSS.3SG is	‘Péter has pneumonia.’			Same verb as in 38,  different pattern
53	Hungarian	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а	fél	NOM	ABL	Y	NOM_ABL		Péter fél a kutyá-tól	PN is.afraid the dog-ABL	‘Péter is afraid of the dog.’			
53	Hungarian	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)	eldob	NOM	ACC	TR	TR		Péter eldob-ott egy köv-et	PN throw.away-PST a stone-ACC	‘Péter threw a stone.’			
53	Hungarian	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а	elég + COP	DAT	NOM	X	DAT_NOM	Non-verbal predicate.	most Péter-nek van elég pénz-e	now PN-DAT is enough money-POSS.3SG	‘Now Péter has enough money.’			
53	Hungarian	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)	hasonlít	NOM	SUB	Y	NOM_SUB		Péter hasonlít Márton-ra	PN resembles PN-SUB	‘Péter resembles Márton.’			
53	Hungarian	7	believe	X (believe) Y	верить	X (верить)Y-у	hisz	NOM	DAT	Y	NOM_DAT		Péter hisz Márton-nak	PN believes PN-DAT	‘Péter believes Márton.’			
53	Hungarian	8	take	X (take) Y	взять	X (брать) Y(-а)	levesz	NOM	ACC	TR	TR		Péter leve-tt egy könyv-et a polc-ról	PN take- PST.INDF.3SG a book-ACC the shelf-DEL	‘Péter took a book from the shelf.’			Same as 96.
53	Hungarian	9	see	X (see) Y	видеть	X (видеть) Y(-а)	lát	NOM	ACC	TR	TR		Péter lát egy ház-at	PN sees a house-ACC	‘Péter sees a house.’			
53	Hungarian	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)	befolyásol	NOM	ACC	TR	TR		a kor befolyásol-ja a memóriá-t	the age influence-DEF.3SG the memory-ACC	‘Age influences memory.’			
53	Hungarian	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом	összefut	NOM	INS	Y	NOM_INS		Péter összefut-ott Márton-nal	PN run.into-PST.INDF.3SG PN-INS	‘Péter encountered Márton.’			
53	Hungarian	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)	belép	NOM	ILL	Y	NOM_ILL		Péter be-lép-ett a ház-ba	PN in-step-PST.INDF.3SG the house-ILL	‘Péter entered the house.’			Alternatives involve verbs like “be-megy” [in-go] and “be-jön”, both used in the same structure (semantic nuances are like between ’go’ and ’come’).
53	Hungarian	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а	legyőz	NOM	ACC	TR	TR		Péter legyőz-t-e Márton-t	PN defeat- PST-DEF.3SG PN-ACC	‘Péter beat Márton.’			
53	Hungarian	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а	kimegy	NOM	ELA	Y	NOM_ELA		Péter ki-men-t a ház-ból	PN out-go-PST.INDF.3SG the house-ELA	‘Péter went out of the house.’			
