language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal	verb_original_orthography	sentence_original_orthography
30	Chinese_Mandarin	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y		*	*	*								ИГ		
30	Chinese_Mandarin	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом		SBJ	DO	TR	TR									
30	Chinese_Mandarin	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а		SBJ	DO	TR	TR									
30	Chinese_Mandarin	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)		SBJ	DO	TR	TR									
30	Chinese_Mandarin	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а		*	*	*								ИГ (кажется, еще есть конструкция TR)		
30	Chinese_Mandarin	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)		SBJ	DO	TR	TR									
30	Chinese_Mandarin	7	believe	X (believe) Y	верить	X (верить)Y-у		SBJ	DO	TR	TR									
30	Chinese_Mandarin	8	take	X (take) Y	взять	X (брать) Y(-а)		SBJ	DO	TR	TR									
30	Chinese_Mandarin	9	see	X (see) Y	видеть	X (видеть) Y(-а)		SBJ	DO	TR	TR									
30	Chinese_Mandarin	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)		SBJ	DO	TR	TR									
30	Chinese_Mandarin	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом		SBJ	DO	TR	TR									
30	Chinese_Mandarin	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)		SBJ	DO	TR	TR							Не совсем понимаю, какие-то модификаторы внутри глагола (DIR), хотя в целом похоже на переходную конструкцию		
30	Chinese_Mandarin	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а		SBJ	DO	TR	TR									
30	Chinese_Mandarin	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а		SBJ	DO	TR	TR							Не совсем понимаю, какие-то модификаторы внутри глагола (DIR), хотя в целом похоже на переходную конструкцию		
30	Chinese_Mandarin	15	drive	X (drive) Y	гнать	X (гнать) Y-а		SBJ	DO	TR	TR									
30	Chinese_Mandarin	16	bend	X (bend) Y	гнуть	X (гнуть) Y		SBJ	DO	TR	TR									
