language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
16	Bashkir	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y		GEN	NOM	X	GEN_NOM							Спорная конструкция
16	Bashkir	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом		NOM	menan	Y	NOM_menan							
16	Bashkir	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а		NOM	ABL	Y	NOM_ABL							
16	Bashkir	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)		NOM	ACC	TR	TR							
16	Bashkir	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а		DAT	NOM	X	DAT_NOM							
16	Bashkir	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)		NOM	DAT	Y	NOM_DAT							
16	Bashkir	7	believe	X (believe) Y	верить	X (верить)Y-у		NOM	DAT	Y	NOM_DAT							
16	Bashkir	8	take	X (take) Y	взять	X (брать) Y(-а)		NOM	ACC	TR	TR							
16	Bashkir	9	see	X (see) Y	видеть	X (видеть) Y(-а)		NOM	ACC	TR	TR							
16	Bashkir	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)		NOM	DAT	Y	NOM_DAT							
16	Bashkir	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом		NOM	ACC	TR	TR							
16	Bashkir	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)		NOM	DAT	Y	NOM_DAT							
16	Bashkir	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а		NOM	ACC	TR	TR							
16	Bashkir	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а		NOM	ABL	Y	NOM_ABL							
16	Bashkir	15	drive	X (drive) Y	гнать	X (гнать) Y-а		NOM	ACC	TR	TR							
16	Bashkir	16	bend	X (bend) Y	гнуть	X (гнуть) Y		NOM	ACC	TR	TR							
16	Bashkir	17	tell	X (tell) Y	говорить	X (говорить) Y-у		NOM	DAT	Y	NOM_DAT							
16	Bashkir	18	hold	X (hold)Y	держать	X (держать) Y(-а)		NOM	ACC	TR	TR							
16	Bashkir	19	catch_up	X (catch up) with Y	догнать	X (догонять) Y(-а)		*	*	*								
16	Bashkir	20	milk	X (milk) Y	доить	X (доить) Y-а		NOM	ACC	TR	TR							
16	Bashkir	21	reach	X (reach) Y	достичь	X (достичь) Y-а (берега) 		*	*	*								
16	Bashkir	22	touch	X (touch) Y	дотронуться	X (дотрагиваться) до Y-а		NOM	DAT	Y	NOM_DAT							
16	Bashkir	23	fight	X (fight) with Y	драться	X (драться) с Y-ом		NOM	menan	Y	NOM_menan							
16	Bashkir	24	be_friends	X (be friends) with Y	дружить	X (дружить) с Y-ом		NOM	menan	Y	NOM_menan							
16	Bashkir	25	think	X (think) about Y	думать	X (думать) об Y-е (об отце)		NOM	turahenda	Y	NOM_turahenda							
16	Bashkir	26	eat	X (eat) Y	есть	X (есть) Y		NOM	ACC	TR	TR							
16	Bashkir	27	fry	X (fry) Y	жарить	X (жарить) Y		NOM	ACC	TR	TR							
16	Bashkir	28	wait	X (wait) for Y	ждать	X (ждать) Y-а (сына)		NOM	ACC	TR	TR							
16	Bashkir	29	forget	X (forget) (about) Y	забывать	X (забывать) об Y-е		NOM	ACC	TR	TR							
16	Bashkir	30	depend	X (depend) on Y	зависеть	X (зависеть) от Y-а		NOM	DAT	Y	NOM_DAT							
16	Bashkir	31	call	X (call) Y	звать	X (звать) Y-а		NOM	ACC	TR	TR							
16	Bashkir	32	get_to_know	X (get to know) Y	знакомиться	X (знакомиться) с Y-ом		NOM	menan	Y	NOM_menan							
16	Bashkir	33	know	X (know) Y	знать 	X (знать) Y-а		NOM	ACC	TR	TR							
16	Bashkir	34	play#instrument#	X (play) Y	играть	X (играть) на Y-е		NOM	LOC	Y	NOM_LOC							
16	Bashkir	35	avoid	X (avoid) Y	избегать	X (избегать) Y-а		NOM	ABL	Y	NOM_ABL							
16	Bashkir	36	make	X (make) Y	изготовить	X (изготовить) Y		NOM	ACC	TR	TR							
16	Bashkir	37	make_fun	X (make fun) of Y	издеваться	X (издеваться) над Y-ом		NOM	ABL	Y	NOM_ABL							
16	Bashkir	38	have	X (have) Y	иметь	X (иметь) Y		GEN	NOM	X	GEN_NOM							Спорная конструкция
16	Bashkir	39	look_for	X (look for) Y	искать	X (искать) Y(-а)		NOM	ACC	TR	TR							
16	Bashkir	40	paint	X (paint) Y	красить	X (красить) Y		NOM	ACC	TR	TR							
16	Bashkir	41	bite	X (bite) Y	кусать	X (кусать) Y-а		NOM	ACC	TR	TR							
16	Bashkir	42	forfeit	X (lose) Y	лишаться	X (лишаться) Y-а		NOM	CAR	Y	NOM_CAR							
16	Bashkir	43	try_to_catch	X (try to catch) Y	ловить	X (ловить) Y(-а)		*	*	*								
