language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
27	Azerbaijani	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y	agri-	GEN	NOM	X	GEN_NOM							
27	Azerbaijani	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом	ol-	NOM	NOM	Y	NOM_NOM							Different from Azerbaijani obsolete
27	Azerbaijani	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а	qorx-	NOM	ABL	Y	NOM_ABL							
27	Azerbaijani	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)	at-	NOM	ACC	TR	TR							
27	Azerbaijani	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а	cat-	GEN	NOM	X	GEN_NOM							
27	Azerbaijani	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)	oxşa-	NOM	DAT	Y	NOM_DAT							
27	Azerbaijani	7	believe	X (believe) Y	верить	X (верить)Y-у	inan-	NOM	DAT	Y	NOM_DAT							
27	Azerbaijani	8	take	X (take) Y	взять	X (брать) Y(-а)	götür-	NOM	ACC	TR	TR							
27	Azerbaijani	9	see	X (see) Y	видеть	X (видеть) Y(-а)	gör-	NOM	ACC	TR	TR							
27	Azerbaijani	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)	təsir eləy-	NOM	DAT	Y	NOM_DAT							
27	Azerbaijani	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом	görüş-	NOM	ile	Y	NOM_ile							
27	Azerbaijani	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)	gir-	NOM	DAT	Y	NOM_DAT							Different from Azerbaijani obsolete
27	Azerbaijani	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а	qazan-	NOM	ACC	TR	TR							Different from Azerbaijani obsolete
27	Azerbaijani	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а	çıx-	NOM	ABL	Y	NOM_ABL							
27	Azerbaijani	15	drive	X (drive) Y	гнать	X (гнать) Y-а	teylə-	NOM	ACC	TR	TR							
27	Azerbaijani	16	bend	X (bend) Y	гнуть	X (гнуть) Y	əy-	NOM	ACC	TR	TR							
27	Azerbaijani	17	tell	X (tell) Y	говорить	X (говорить) Y-у	de-	NOM	DAT	Y	NOM_DAT							Different from Azerbaijani obsolete
27	Azerbaijani	18	hold	X (hold)Y	держать	X (держать) Y(-а)	tut-	NOM	ACC	TR	TR							
27	Azerbaijani	19	catch_up	X (catch up) with Y	догнать	X (догонять) Y(-а)	çat-	NOM	DAT	Y	NOM_DAT							
27	Azerbaijani	20	milk	X (milk) Y	доить	X (доить) Y-а	sağ-	NOM	ACC	TR	TR							
27	Azerbaijani	21	reach	X (reach) Y	достичь	X (достичь) Y-а (берега) 	çat-	NOM	DAT	Y	NOM_DAT							
27	Azerbaijani	22	touch	X (touch) Y	дотронуться	X (дотрагиваться) до Y-а	toxun-	NOM	DAT	Y	NOM_DAT							
27	Azerbaijani	23	fight	X (fight) with Y	драться	X (драться) с Y-ом	dalaş-	NOM	ile	Y	NOM_ile							
27	Azerbaijani	24	be_friends	X (be friends) with Y	дружить	X (дружить) с Y-ом	dostluq elə-	NOM	ile	Y	NOM_ile							
27	Azerbaijani	25	think	X (think) about Y	думать	X (думать) об Y-е (об отце)	düşün-	NOM	ACC	TR	TR							Different from Azerbaijani obsolete
27	Azerbaijani	26	eat	X (eat) Y	есть	X (есть) Y	ye-	NOM	ACC	TR	TR							
27	Azerbaijani	27	fry	X (fry) Y	жарить	X (жарить) Y	qızart-	NOM	ACC	TR	TR							
27	Azerbaijani	28	wait	X (wait) for Y	ждать	X (ждать) Y-а (сына)	gözləy-	NOM	ACC	TR	TR							
27	Azerbaijani	29	forget	X (forget) (about) Y	забывать	X (забывать) об Y-е	unut-	NOM	ACC	TR	TR							
27	Azerbaijani	30	depend	X (depend) on Y	зависеть	X (зависеть) от Y-а	asılı	NOM	ABL	Y	NOM_ABL							
27	Azerbaijani	31	call	X (call) Y	звать	X (звать) Y-а	çağır-	NOM	ACC	TR	TR							
27	Azerbaijani	32	get_to_know	X (get to know) Y	знакомиться	X (знакомиться) с Y-ом	tanış ol-	NOM	ile	Y	NOM_ile							
27	Azerbaijani	33	know	X (know) Y	знать 	X (знать) Y-а	tani-	NOM	ACC	TR	TR							
27	Azerbaijani	34	play#instrument#	X (play) Y	играть	X (играть) на Y-е	çal-	NOM	ACC	TR	TR							Impossible to determine whether different from Azerbaijani obsolete
27	Azerbaijani	35	avoid	X (avoid) Y	избегать	X (избегать) Y-а	qaç-	NOM	ABL	Y	NOM_ABL							
27	Azerbaijani	36	make	X (make) Y	изготовить	X (изготовить) Y	hazırla-	NOM	ACC	TR	TR							
27	Azerbaijani	37	make_fun	X (make fun) of Y	издеваться	X (издеваться) над Y-ом	məzələn-	NOM	ile	Y	NOM_ile							Different from Azerbaijani obsolete
27	Azerbaijani	38	have	X (have) Y	иметь	X (иметь) Y	var	GEN	NOM	X	GEN_NOM							
27	Azerbaijani	39	look_for	X (look for) Y	искать	X (искать) Y(-а)	axtar-	NOM	ACC	TR	TR							
27	Azerbaijani	40	paint	X (paint) Y	красить	X (красить) Y	rənglə-	NOM	ACC	TR	TR							
27	Azerbaijani	41	bite	X (bite) Y	кусать	X (кусать) Y-а	dişlə-	NOM	ACC	TR	TR							
27	Azerbaijani	42	forfeit	X (lose) Y	лишаться	X (лишаться) Y-а	məhrum edil-	NOM	ABL	Y	NOM_ABL							Different from Azerbaijani obsolete
27	Azerbaijani	43	try_to_catch	X (try to catch) Y	ловить	X (ловить) Y(-а)	tut-	NOM	ACC	TR	TR							
27	Azerbaijani	44	break	X (break) Y	ломать	X (ломать) Y	sındır-	NOM	ACC	TR	TR							
27	Azerbaijani	45	flatter	X (flatter) Y	льстить	X (льстить) Y-у	yaltaqlan-	NOM	DAT	Y	NOM_DAT							
27	Azerbaijani	46	love1	X (love) Y	любить-1	X (любить) Y-а (сына)	sev-	NOM	ACC	TR	TR							
27	Azerbaijani	47	wave	X (wave) Y	махать	X (махать) Y-ом	yellə-	NOM	ACC	TR	TR							Different from Azerbaijani obsolete
27	Azerbaijani	48	dream	X (dream) of Y	мечтать	X (мечтать) об Y-е	xəyal-i-ni  qur-	*	*	*								
27	Azerbaijani	49	wash	X (wash) Y	мыть	X (мыть) Y	yu-	NOM	ACC	TR	TR							
27	Azerbaijani	50	put_on	X (put_on) Y	надевать	X (надевать) Y	geydir-	NOM	ACC	TR	TR							
27	Azerbaijani	51	be_called	X (be_called) Y	называться	X (называться) Y	ad-	GEN	PRED	XY	GEN_PRED							Different from Azerbaijani obsolete
27	Azerbaijani	52	punish	X (punish) Y	наказывать	X (наказывать) Y-а	cəzalandır-	NOM	ACC	TR	TR							
