language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal	verb_original_orthography	sentence_original_orthography
42	Komi_Permyak	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y		GEN	NOM	X	GEN_NOM							у кати был прочерк		
42	Komi_Permyak	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом		NOM	INS	Y	NOM_INS									
42	Komi_Permyak	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а		NOM	ABL	Y	NOM_ABL									
42	Komi_Permyak	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)		NOM	ACC	TR	TR									
42	Komi_Permyak	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а		DAT	NOM	X	DAT_NOM									
42	Komi_Permyak	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)		NOM	SUPLAT	Y	NOM_SUPLAT									
42	Komi_Permyak	7	believe	X (believe) Y	верить	X (верить)Y-у		NOM	DAT	Y	NOM_DAT							то же, что доверять		
42	Komi_Permyak	8	take	X (take) Y	взять	X (брать) Y(-а)		NOM	ACC	TR	TR									
42	Komi_Permyak	9	see	X (see) Y	видеть	X (видеть) Y(-а)		NOM	ACC	TR	TR							то же что видеть		
42	Komi_Permyak	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)		NOM	SUPLAT	Y	NOM_SUPLAT									
42	Komi_Permyak	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом		NOM	COM	Y	NOM_COM									
42	Komi_Permyak	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)		NOM	ILL	Y	NOM_ILL									
42	Komi_Permyak	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а		NOM	ACC	TR	TR									
42	Komi_Permyak	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а		NOM	ELA	Y	NOM_ELA									
42	Komi_Permyak	15	drive	X (drive) Y	гнать	X (гнать) Y-а		NOM	ACC	TR	TR									
42	Komi_Permyak	16	bend	X (bend) Y	гнуть	X (гнуть) Y		NOM	ACC	TR	TR									
42	Komi_Permyak	17	tell	X (tell) Y	говорить	X (говорить) Y-у		NOM	DAT	Y	NOM_DAT									
42	Komi_Permyak	18	hold	X (hold)Y	держать	X (держать) Y(-а)		NOM	ACC	TR	TR									
42	Komi_Permyak	19	catch_up	X (catch up) with Y	догнать	X (догонять) Y(-а)		NOM	ACC	TR	TR									
42	Komi_Permyak	20	milk	X (milk) Y	доить	X (доить) Y-а		NOM	ACC	TR	TR									
42	Komi_Permyak	21	reach	X (reach) Y	достичь	X (достичь) Y-а (берега) 		NOM	donodz	Y	NOM_donodz									
42	Komi_Permyak	22	touch	X (touch) Y	дотронуться	X (дотрагиваться) до Y-а		NOM	berdo	Y	NOM_berdo									
42	Komi_Permyak	23	fight	X (fight) with Y	драться	X (драться) с Y-ом		NOM	COM	Y	NOM_COM									
42	Komi_Permyak	24	be_friends	X (be friends) with Y	дружить	X (дружить) с Y-ом		NOM	COM	Y	NOM_COM									
42	Komi_Permyak	25	think	X (think) about Y	думать	X (думать) об Y-е (об отце)		NOM	ponda	Y	NOM_ponda									
42	Komi_Permyak	26	eat	X (eat) Y	есть	X (есть) Y		NOM	ACC	TR	TR									
42	Komi_Permyak	27	fry	X (fry) Y	жарить	X (жарить) Y		NOM	ACC	TR	TR									
42	Komi_Permyak	28	wait	X (wait) for Y	ждать	X (ждать) Y-а (сына)		NOM	ACC	TR	TR									
42	Komi_Permyak	29	forget	X (forget) (about) Y	забывать	X (забывать) об Y-е		NOM	ACC	TR	TR									
42	Komi_Permyak	30	depend	X (depend) on Y	зависеть	X (зависеть) от Y-а		NOM	EGR	Y	NOM_EGR									
42	Komi_Permyak	31	call	X (call) Y	звать	X (звать) Y-а		NOM	ACC	TR	TR									
42	Komi_Permyak	32	get_to_know	X (get to know) Y	знакомиться	X (знакомиться) с Y-ом		NOM	COM	Y	NOM_COM									
42	Komi_Permyak	33	know	X (know) Y	знать 	X (знать) Y-а		NOM	ACC	TR	TR									
42	Komi_Permyak	34	play#instrument#	X (play) Y	играть	X (играть) на Y-е		NOM	INS	Y	NOM_INS									
42	Komi_Permyak	35	avoid	X (avoid) Y	избегать	X (избегать) Y-а		NOM	shogja	Y	NOM_shogja									
42	Komi_Permyak	36	make	X (make) Y	изготовить	X (изготовить) Y		NOM	ACC	TR	TR									
42	Komi_Permyak	37	make_fun	X (make fun) of Y	издеваться	X (издеваться) над Y-ом		NOM	vylyn	Y	NOM_vylyn									
42	Komi_Permyak	38	have	X (have) Y	иметь	X (иметь) Y		*	*	*										
42	Komi_Permyak	39	look_for	X (look for) Y	искать	X (искать) Y(-а)		NOM	ACC	TR	TR									
42	Komi_Permyak	40	paint	X (paint) Y	красить	X (красить) Y		NOM	ACC	TR	TR									
42	Komi_Permyak	41	bite	X (bite) Y	кусать	X (кусать) Y-а		NOM	ACC	TR	TR									
42	Komi_Permyak	42	forfeit	X (lose) Y	лишаться	X (лишаться) Y-а		*	*	*										
42	Komi_Permyak	43	try_to_catch	X (try to catch) Y	ловить	X (ловить) Y(-а)		NOM	ACC	TR	TR									
42	Komi_Permyak	44	break	X (break) Y	ломать	X (ломать) Y		NOM	ACC	TR	TR									
42	Komi_Permyak	45	flatter	X (flatter) Y	льстить	X (льстить) Y-у		*	*	*										
42	Komi_Permyak	46	love1	X (love) Y	любить-1	X (любить) Y-а (сына)		NOM	ACC	TR	TR									
42	Komi_Permyak	47	wave	X (wave) Y	махать	X (махать) Y-ом		NOM	INS	Y	NOM_INS									
42	Komi_Permyak	48	dream	X (dream) of Y	мечтать	X (мечтать) об Y-е		NOM	jylys	Y	NOM_jylys									
42	Komi_Permyak	49	wash	X (wash) Y	мыть	X (мыть) Y		NOM	ACC	TR	TR									
42	Komi_Permyak	50	put_on	X (put_on) Y	надевать	X (надевать) Y		NOM	ACC	TR	TR									
42	Komi_Permyak	51	be_called	X (be_called) Y	называться	X (называться) Y		NOM	NOM(NO.AGR)	Y	NOM_NOM(NO.AGR)									
42	Komi_Permyak	52	punish	X (punish) Y	наказывать	X (наказывать) Y-а		NOM	ACC	TR	TR									
42	Komi_Permyak	53	attack	X (attack) Y	напасть	X (нападать) на Y-а		NOM	vylo	Y	NOM_vylo									
42	Komi_Permyak	54	fill#intr#	X (fill) with Y	наполняться	X (наполняться) Y-ом		NOM	INS	Y	NOM_INS									
42	Komi_Permyak	55	find	X (find) Y	находить	X (находить) Y(-а)		NOM	ACC	TR	TR							то же что видеть		
42	Komi_Permyak	56	be_short	X (be short) Y	недоставать	X-у (недоставать) Y-a		DAT	NOM	X	DAT_NOM									
42	Komi_Permyak	57	hate	X (hate) Y	ненавидеть	X (ненавидеть) Y-а		NOM	ACC	TR	TR									
42	Komi_Permyak	58	like	X (like) Y	нравиться	X-у (нравиться) Y		DAT	NOM	X	DAT_NOM									
42	Komi_Permyak	59	need	X (need) Y	нуждаться	X (нуждаться) в Y-е		DAT	NOM	X	DAT_NOM									
42	Komi_Permyak	60	surround	X (surround) Y	окружать	X (окружать) Y (стена город)		*	*	*										
42	Komi_Permyak	61	remain	X (have) Y left	оставаться	у X-а (оставаться) Y		GEN	NOM	X	GEN_NOM									
42	Komi_Permyak	62	answer	X (answer) Y	отвечать	X (отвечать) Y-у		NOM	DAT	Y	NOM_DAT									
42	Komi_Permyak	63	open	X (open) Y	открывать	X (открывать) Y		NOM	ACC	TR	TR									
42	Komi_Permyak	64	be_different	X (be different) from Y	отличаться	X (отличаться) от Y-а		*	*	*										
42	Komi_Permyak	65	fall_behind	X (fall behind) Y	отстать	X (отставать) от Y-а		NOM	borsjan	Y	NOM_borsjan									
42	Komi_Permyak	66	plough	X (plough) Y	пахать	X (пахать) Y		NOM	ACC	TR	TR									
42	Komi_Permyak	67	smell	X (smell) like / of Y	пахнуть	X (пахнуть) Y-ом		NOM	INS	Y	NOM_INS									
42	Komi_Permyak	68	cross	X (cross) Y	пересечь	X (пересекать) Y (улицу) 		NOM	ACC	TR	TR									
42	Komi_Permyak	69	sing	X (sing) Y	петь	X (петь) Y		NOM	ACC	TR	TR									
42	Komi_Permyak	70	write	X (write) Y	писать	X (писать) Y		NOM	ACC	TR	TR									
42	Komi_Permyak	71	drink	X (drink) Y	пить	X (пить) Y		NOM	ACC	TR	TR									
42	Komi_Permyak	72	melt	X (melt) Y	плавить	X (плавить) Y		NOM	ACC	TR	TR									
42	Komi_Permyak	73	match	X (match) Y	подходить	X (подходить) к Y-у (пояс к платью)		NOM	dyno	Y	NOM_dyno									
42	Komi_Permyak	74	leave	X (leave) Y	покидать	X (покидать) Y(-а)		*	*	*										
42	Komi_Permyak	75	cover	X (cover) Y	покрывать	X (покрывать) Y		NOM	ACC	TR	TR									
42	Komi_Permyak	76	remember	X (remember) Y	помнить	X (помнить) Y-а		NOM	ACC	TR	TR									
42	Komi_Permyak	77	help	X (help) Y	помочь	X (помогать) Y-у		NOM	DAT	Y	NOM_DAT									
42	Komi_Permyak	78	understand	X (understand) Y	понимать	X (понимать) Y		NOM	ACC	TR	TR									
42	Komi_Permyak	79	hit#target#	X (hit) Y	попасть	X (попадать) в Y (молния в дом)		NOM	ILL	Y	NOM_ILL									
42	Komi_Permyak	80	cut_oneself	X (cut oneself) with Y	порезаться	X (резаться) Y-ом		NOM	INS	Y	NOM_INS									
42	Komi_Permyak	81	get_stuck	X (get stuck) to Y	прилипать	X (прилипать) к Y-у		NOM	berdo	Y	NOM_berdo									
42	Komi_Permyak	82	lose#game#	X (lose) to Y	проиграть	X (проиграть) Y-у		NOM	DAT	Y	NOM_DAT									
42	Komi_Permyak	83	be_glad	X (be glad) about Y	радоваться	X (радоваться) Y-у		NOM	ponda	Y	NOM_ponda									
42	Komi_Permyak	84	speak	X (speak) with Y	разговаривать	X (разговаривать) с Y-ом		NOM	COM	Y	NOM_COM									
