language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
33	Italian	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y	dolere	a	SBJ	X	a_SBJ							то же fare male
33	Italian	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом	avere	*	*	*								TR, но это иметь (38)
33	Italian	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а	aver paura	SBJ	di	Y	SBJ_di							CV
33	Italian	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)	tirare 	SBJ	DO	TR	TR							
33	Italian	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а	bastare	a	SBJ	X	a_SBJ							
33	Italian	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)	somigliare	SBJ	a	Y	SBJ_a							
33	Italian	7	believe	X (believe) Y	верить	X (верить)Y-у	credere	SBJ	a	Y	SBJ_a							
33	Italian	8	take	X (take) Y	взять	X (брать) Y(-а)	prendere	SBJ	DO	TR	TR							
33	Italian	9	see	X (see) Y	видеть	X (видеть) Y(-а)	vedere	SBJ	DO	TR	TR							
33	Italian	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)	influenzare	SBJ	DO	TR	TR							
33	Italian	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом	incontrare	SBJ	DO	TR	TR							
33	Italian	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)	entrare	SBJ	in	Y	SBJ_in							
33	Italian	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а	vincere	SBJ	con	Y	SBJ_con							
33	Italian	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а	uscire	SBJ	da	Y	SBJ_da							
33	Italian	15	drive	X (drive) Y	гнать	X (гнать) Y-а	portare	SBJ	DO	TR	TR							
33	Italian	16	bend	X (bend) Y	гнуть	X (гнуть) Y	piegare	SBJ	DO	TR	TR							
33	Italian	17	tell	X (tell) Y	говорить	X (говорить) Y-у	dire	SBJ	a	Y	SBJ_a							
33	Italian	18	hold	X (hold)Y	держать	X (держать) Y(-а)	tenere	SBJ	DO	TR	TR							
33	Italian	19	catch_up	X (catch up) with Y	догнать	X (догонять) Y(-а)	rincorrere	SBJ	DO	TR	TR							
33	Italian	20	milk	X (milk) Y	доить	X (доить) Y-а	mungere	SBJ	DO	TR	TR							
33	Italian	21	reach	X (reach) Y	достичь	X (достичь) Y-а (берега) 	arrivare	SBJ	a	Y	SBJ_a							
33	Italian	22	touch	X (touch) Y	дотронуться	X (дотрагиваться) до Y-а	toccare	SBJ	DO	TR	TR							
33	Italian	23	fight	X (fight) with Y	драться	X (драться) с Y-ом	azzufarsi	SBJ	con	Y	SBJ_con							REFL
33	Italian	24	be_friends	X (be friends) with Y	дружить	X (дружить) с Y-ом	essere amico 	*	*	*								Именной ('быть другом') + di. Естественно сказать fare amicizia con ('подружиться'), но это аспектуально друггое значение
