language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
12	Japanese	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y		TOP	NOM		TOPNOM	vi						
12	Japanese	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом		TOP	0		TOP0	COP						
12	Japanese	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а						ADJ						
12	Japanese	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)		NOM	ACC		TR	vt						
12	Japanese	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а		TOP	NOM		TOPNOM	vi						
12	Japanese	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)		NOM	DAT		DAT	vi						
12	Japanese	7	believe	X (believe) Y	верить	X (верить)Y-у		NOM	ACC		TR	vt						
12	Japanese	8	take	X (take) Y	взять	X (брать) Y(-а)		NOM	ACC		TR	vt						
12	Japanese	9	see	X (see) Y	видеть	X (видеть) Y(-а)		NOM/DAT	ACC/NOM		DATNOM	vt/i						
12	Japanese	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)		NOM	DAT		DAT	vi						
12	Japanese	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом		NOM	DAT		DAT	vi						
12	Japanese	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)		NOM	DAT/ALL		ALL	vi						
12	Japanese	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а		NOM	DAT		DAT	vi						
12	Japanese	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а		NOM	ACC/ABL		ABL	vt						
12	Japanese	15	drive	X (drive) Y	гнать	X (гнать) Y-а		NOM	ACC		TR	vt						
12	Japanese	16	bend	X (bend) Y	гнуть	X (гнуть) Y		NOM	ACC		TR	vt						
12	Japanese	17	tell	X (tell) Y	говорить	X (говорить) Y-у		NOM	DAT		DAT	vi						
12	Japanese	18	hold	X (hold)Y	держать	X (держать) Y(-а)		NOM	ACC		TR	vt						
12	Japanese	19	catch_up	X (catch up) with Y	догнать	X (догонять) Y(-а)		NOM	DAT		DAT	vi						
12	Japanese	20	milk	X (milk) Y	доить	X (доить) Y-а						0						
12	Japanese	21	reach	X (reach) Y	достичь	X (достичь) Y-а (берега) 		NOM	DAT		DAT	vi						
12	Japanese	22	touch	X (touch) Y	дотронуться	X (дотрагиваться) до Y-а		NOM	DAT		DAT	vi						
12	Japanese	23	fight	X (fight) with Y	драться	X (драться) с Y-ом		NOM	CONTR		CONTR	vi						
12	Japanese	24	be_friends	X (be friends) with Y	дружить	X (дружить) с Y-ом		NOM	CONTR		CONTR	vi						
12	Japanese	25	think	X (think) about Y	думать	X (думать) об Y-е (об отце)		NOM	ACC		TR	vt						
12	Japanese	26	eat	X (eat) Y	есть	X (есть) Y		NOM	ACC		TR	vt						
12	Japanese	27	fry	X (fry) Y	жарить	X (жарить) Y		NOM	ACC		TR	vt						
12	Japanese	28	wait	X (wait) for Y	ждать	X (ждать) Y-а (сына)		NOM	ACC		TR	vt						
12	Japanese	29	forget	X (forget) (about) Y	забывать	X (забывать) об Y-е		NOM	ACC		TR	vt						
12	Japanese	30	depend	X (depend) on Y	зависеть	X (зависеть) от Y-а		NOM	DAT		DAT	vi						
12	Japanese	31	call	X (call) Y	звать	X (звать) Y-а		NOM	ACC		TR	vt						
12	Japanese	32	get_to_know	X (get to know) Y	знакомиться	X (знакомиться) с Y-ом		NOM	CONTR		CONTR	vi						
12	Japanese	33	know	X (know) Y	знать 	X (знать) Y-а		NOM	ACC		TR	vt						
12	Japanese	34	play#instrument#	X (play) Y	играть	X (играть) на Y-е		NOM	ACC		TR	vt						
12	Japanese	35	avoid	X (avoid) Y	избегать	X (избегать) Y-а		NOM	ACC		TR	vt						
12	Japanese	36	make	X (make) Y	изготовить	X (изготовить) Y		NOM	ACC		TR	vt						
12	Japanese	37	make_fun	X (make fun) of Y	издеваться	X (издеваться) над Y-ом		NOM	ACC		TR	vt						
12	Japanese	38	have	X (have) Y	иметь	X (иметь) Y		NOM	ACC		TR	vt						
12	Japanese	39	look_for	X (look for) Y	искать	X (искать) Y(-а)		NOM	ACC		TR	vt						
12	Japanese	40	paint	X (paint) Y	красить	X (красить) Y		NOM	ACC		TR	vt						
12	Japanese	41	bite	X (bite) Y	кусать	X (кусать) Y-а		NOM	ACC		TR	vt						
12	Japanese	42	forfeit	X (lose) Y	лишаться	X (лишаться) Y-а		NOM	ACC		TR	vt						
12	Japanese	43	try_to_catch	X (try to catch) Y	ловить	X (ловить) Y(-а)		NOM	ACC		TR	vt						
12	Japanese	44	break	X (break) Y	ломать	X (ломать) Y		NOM	ACC		TR	vt						
12	Japanese	45	flatter	X (flatter) Y	льстить	X (льстить) Y-у		NOM	DAT		DAT	vi						
12	Japanese	46	love1	X (love) Y	любить-1	X (любить) Y-а (сына)						ADJ						
12	Japanese	47	wave	X (wave) Y	махать	X (махать) Y-ом		NOM	ACC		TR	vt						
12	Japanese	48	dream	X (dream) of Y	мечтать	X (мечтать) об Y-е		NOM	ACC		TR	vt						
12	Japanese	49	wash	X (wash) Y	мыть	X (мыть) Y		NOM	ACC		TR	vt						
12	Japanese	50	put_on	X (put_on) Y	надевать	X (надевать) Y		NOM	ACC		TR	vt						
12	Japanese	51	be_called	X (be_called) Y	называться	X (называться) Y		NOM	CONTR		CONTR	vi						
12	Japanese	52	punish	X (punish) Y	наказывать	X (наказывать) Y-а		NOM	ACC		TR	vt						
12	Japanese	53	attack	X (attack) Y	напасть	X (нападать) на Y-а		NOM	ACC		TR	vt						
12	Japanese	54	fill#intr#	X (fill) with Y	наполняться	X (наполняться) Y-ом		NOM	INSTR		INSTR	vi						
12	Japanese	55	find	X (find) Y	находить	X (находить) Y(-а)		NOM	ACC		TR	vt						
12	Japanese	56	be_short	X (be short) Y	недоставать	X-у (недоставать) Y-a		TOP	NOM		TOPNOM	vi						
12	Japanese	57	hate	X (hate) Y	ненавидеть	X (ненавидеть) Y-а						ADJ						
12	Japanese	58	like	X (like) Y	нравиться	X-у (нравиться) Y		TOP	NOM		TOPNOM	vi						
12	Japanese	59	need	X (need) Y	нуждаться	X (нуждаться) в Y-е		TOP	NOM		TOPNOM	vi						
12	Japanese	60	surround	X (surround) Y	окружать	X (окружать) Y (стена город)		NOM	ACC		TR	vt						
12	Japanese	61	remain	X (have) Y left	оставаться	у X-а (оставаться) Y		TOP	NOM		TOPNOM	vi						
12	Japanese	62	answer	X (answer) Y	отвечать	X (отвечать) Y-у		NOM	DAT		DAT	vi						
12	Japanese	63	open	X (open) Y	открывать	X (открывать) Y		NOM	ACC		TR	vt						
12	Japanese	64	be_different	X (be different) from Y	отличаться	X (отличаться) от Y-а		NOM	CONTR		CONTR	vi						
12	Japanese	65	fall_behind	X (fall behind) Y	отстать	X (отставать) от Y-а		NOM	DAT		DAT	vi						
12	Japanese	66	plough	X (plough) Y	пахать	X (пахать) Y		NOM	ACC		TR	vt						
12	Japanese	67	smell	X (smell) like / of Y	пахнуть	X (пахнуть) Y-ом						0						
12	Japanese	68	cross	X (cross) Y	пересечь	X (пересекать) Y (улицу) 		NOM	ACC		TR	vt						
12	Japanese	69	sing	X (sing) Y	петь	X (петь) Y		NOM	ACC		TR	vt						
12	Japanese	70	write	X (write) Y	писать	X (писать) Y		NOM	ACC		TR	vt						
12	Japanese	71	drink	X (drink) Y	пить	X (пить) Y		NOM	ACC		TR	vt						
12	Japanese	72	melt	X (melt) Y	плавить	X (плавить) Y		NOM	ACC		TR	vt						
12	Japanese	73	match	X (match) Y	подходить	X (подходить) к Y-у (пояс к платью)		NOM	DAT		DAT	vi						
12	Japanese	74	leave	X (leave) Y	покидать	X (покидать) Y(-а)		NOM	ACC		TR	vt						
12	Japanese	75	cover	X (cover) Y	покрывать	X (покрывать) Y		NOM	ACC		TR	vt						
12	Japanese	76	remember	X (remember) Y	помнить	X (помнить) Y-а		NOM	ACC		TR	vt						
12	Japanese	77	help	X (help) Y	помочь	X (помогать) Y-у		NOM	ACC		TR	vt						
