language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
43	Erzya	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y					GENNOM							
43	Erzya	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом					NOMINE							
43	Erzya	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а					NOMABL							
43	Erzya	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)					TR							
43	Erzya	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а					GENNOM							
43	Erzya	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)					NOMjonLAT							
43	Erzya	7	believe	X (believe) Y	верить	X (верить)Y-у					NOMDAT							
43	Erzya	8	take	X (take) Y	взять	X (брать) Y(-а)					TR							
43	Erzya	9	see	X (see) Y	видеть	X (видеть) Y(-а)					TR							
43	Erzya	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)					NOMlangILL							
43	Erzya	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом					NOMmarto							
43	Erzya	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)					NOMILL							
43	Erzya	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а					TR							
43	Erzya	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а					NOMELA							
43	Erzya	15	drive	X (drive) Y	гнать	X (гнать) Y-а					TR							
43	Erzya	16	bend	X (bend) Y	гнуть	X (гнуть) Y					TR							
43	Erzya	17	tell	X (tell) Y	говорить	X (говорить) Y-у					NOMDAT							
43	Erzya	18	hold	X (hold)Y	держать	X (держать) Y(-а)					TR							
43	Erzya	19	catch_up	X (catch up) with Y	догнать	X (догонять) Y(-а)					TR							
43	Erzya	20	milk	X (milk) Y	доить	X (доить) Y-а					TR							
43	Erzya	21	reach	X (reach) Y	достичь	X (достичь) Y-а (берега) 					NOMDAT							
43	Erzya	22	touch	X (touch) Y	дотронуться	X (дотрагиваться) до Y-а					TR							
43	Erzya	23	fight	X (fight) with Y	драться	X (драться) с Y-ом					NOMmarto							
43	Erzya	24	be_friends	X (be friends) with Y	дружить	X (дружить) с Y-ом					NOMmarto							
43	Erzya	25	think	X (think) about Y	думать	X (думать) об Y-е (об отце)					NOMABL							
43	Erzya	26	eat	X (eat) Y	есть	X (есть) Y					TR							
43	Erzya	27	fry	X (fry) Y	жарить	X (жарить) Y					TR							
43	Erzya	28	wait	X (wait) for Y	ждать	X (ждать) Y-а (сына)					TR							
43	Erzya	29	forget	X (forget) (about) Y	забывать	X (забывать) об Y-е					TR							
43	Erzya	30	depend	X (depend) on Y	зависеть	X (зависеть) от Y-а					NOMejELA							
43	Erzya	31	call	X (call) Y	звать	X (звать) Y-а					TR							
43	Erzya	32	get_to_know	X (get to know) Y	знакомиться	X (знакомиться) с Y-ом					NOMmarto							
43	Erzya	33	know	X (know) Y	знать 	X (знать) Y-а					TR							
43	Erzya	34	play#instrument#	X (play) Y	играть	X (играть) на Y-е					NOMINE							
43	Erzya	35	avoid	X (avoid) Y	избегать	X (избегать) Y-а					NOMejELA							
43	Erzya	36	make	X (make) Y	изготовить	X (изготовить) Y					TR							
