language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
10	German	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y		DAT	NOM	X	DAT_NOM							
10	German	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом		NOM	anDAT	Y	NOM_anDAT							
10	German	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а	Angst haben	NOM	vorDAT	Y	NOM_vorDAT							NV
10	German	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)		NOM	ACC	TR	TR							
10	German	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а		NOM	mitDAT	Y	NOM_mitDAT							
10	German	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)	ähnlich sein 	NOM	DAT	Y	NOM_DAT							NV
10	German	7	believe	X (believe) Y	верить	X (верить)Y-у		NOM	DAT	Y	NOM_DAT							
10	German	8	take	X (take) Y	взять	X (брать) Y(-а)		NOM	ACC	TR	TR							
10	German	9	see	X (see) Y	видеть	X (видеть) Y(-а)		NOM	ACC	TR	TR							
10	German	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)		NOM	ACC	TR	TR							
10	German	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом		NOM	DAT	Y	NOM_DAT							
10	German	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)		NOM	inACC	Y	NOM_inACC							
10	German	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а		*	*	*								
10	German	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а		NOM	ausDAT	Y	NOM_ausDAT							
10	German	15	drive	X (drive) Y	гнать	X (гнать) Y-а		NOM	ACC	TR	TR							
10	German	16	bend	X (bend) Y	гнуть	X (гнуть) Y		NOM	ACC	TR	TR							
10	German	17	tell	X (tell) Y	говорить	X (говорить) Y-у		NOM	zuDAT	Y	NOM_zuDAT							
10	German	18	hold	X (hold)Y	держать	X (держать) Y(-а)		NOM	ACC	TR	TR							
10	German	19	catch_up	X (catch up) with Y	догнать	X (догонять) Y(-а)		NOM	ACC	TR	TR							
10	German	20	milk	X (milk) Y	доить	X (доить) Y-а		NOM	ACC	TR	TR							
10	German	21	reach	X (reach) Y	достичь	X (достичь) Y-а (берега) 		NOM	ACC	TR	TR							
10	German	22	touch	X (touch) Y	дотронуться	X (дотрагиваться) до Y-а		NOM	ACC	TR	TR							
10	German	23	fight	X (fight) with Y	драться	X (драться) с Y-ом		NOM	mitDAT	Y	NOM_mitDAT							
10	German	24	be_friends	X (be friends) with Y	дружить	X (дружить) с Y-ом	befreundet sein 	NOM	mitDAT	Y	NOM_mitDAT							NV
10	German	25	think	X (think) about Y	думать	X (думать) об Y-е (об отце)		NOM	anACC	Y	NOM_anACC							
10	German	26	eat	X (eat) Y	есть	X (есть) Y		NOM	ACC	TR	TR							
10	German	27	fry	X (fry) Y	жарить	X (жарить) Y		NOM	ACC	TR	TR							
10	German	28	wait	X (wait) for Y	ждать	X (ждать) Y-а (сына)		NOM	aufACC	Y	NOM_aufACC							
10	German	29	forget	X (forget) (about) Y	забывать	X (забывать) об Y-е		NOM	ACC	TR	TR							
