language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
26	Armenian_Eastern	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y		*	*	*								ИГ
26	Armenian_Eastern	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом		NOM	NOM(NO.AGR)	Y	NOM_NOM(NO.AGR)							
26	Armenian_Eastern	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а		NOM	ABL	Y	NOM_ABL							
26	Armenian_Eastern	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)		NOM	DAT~NOM	TR	TR							
26	Armenian_Eastern	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а		DAT	NOM	X	DAT_NOM							NV
26	Armenian_Eastern	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)		NOM	DAT	Y	NOM_DAT							
26	Armenian_Eastern	7	believe	X (believe) Y	верить	X (верить)Y-у		NOM	DAT	Y	NOM_DAT							
26	Armenian_Eastern	8	take	X (take) Y	взять	X (брать) Y(-а)		NOM	DAT~NOM	TR	TR							
26	Armenian_Eastern	9	see	X (see) Y	видеть	X (видеть) Y(-а)		NOM	DAT~NOM	TR	TR							
26	Armenian_Eastern	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)		NOM	DATvra	Y	NOM_DATvra							
26	Armenian_Eastern	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом		NOM	DAT~NOM	TR	TR							
26	Armenian_Eastern	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)		NOM	NOM(NO.AGR)	Y	NOM_NOM(NO.AGR)							
26	Armenian_Eastern	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а		NOM	DAT~NOM	TR	TR							
26	Armenian_Eastern	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а		NOM	ABL	Y	NOM_ABL							
26	Armenian_Eastern	15	drive	X (drive) Y	гнать	X (гнать) Y-а		NOM	DAT~NOM	TR	TR							
26	Armenian_Eastern	16	bend	X (bend) Y	гнуть	X (гнуть) Y		NOM	DAT~NOM	TR	TR							
26	Armenian_Eastern	17	tell	X (tell) Y	говорить	X (говорить) Y-у		NOM	DAT	Y	NOM_DAT							
26	Armenian_Eastern	18	hold	X (hold)Y	держать	X (держать) Y(-а)		NOM	DAT~NOM	TR	TR							
26	Armenian_Eastern	19	catch_up	X (catch up) with Y	догнать	X (догонять) Y(-а)		NOM	DAT	Y	NOM_DAT							То же, что 21
26	Armenian_Eastern	20	milk	X (milk) Y	доить	X (доить) Y-а		NOM	DAT~NOM	TR	TR							
26	Armenian_Eastern	21	reach	X (reach) Y	достичь	X (достичь) Y-а (берега) 		NOM	DAT	Y	NOM_DAT							
26	Armenian_Eastern	22	touch	X (touch) Y	дотронуться	X (дотрагиваться) до Y-а		NOM	DAT	Y	NOM_DAT							
26	Armenian_Eastern	23	fight	X (fight) with Y	драться	X (драться) с Y-ом		NOM	DAThet	Y	NOM_DAThet							
26	Armenian_Eastern	24	be_friends	X (be friends) with Y	дружить	X (дружить) с Y-ом		NOM	DAThet	Y	NOM_DAThet							CV
26	Armenian_Eastern	25	think	X (think) about Y	думать	X (думать) об Y-е (об отце)		NOM	DATmasin	Y	NOM_DATmasin							
26	Armenian_Eastern	26	eat	X (eat) Y	есть	X (есть) Y		NOM	DAT~NOM	TR	TR							
26	Armenian_Eastern	27	fry	X (fry) Y	жарить	X (жарить) Y		NOM	DAT~NOM	TR	TR							
26	Armenian_Eastern	28	wait	X (wait) for Y	ждать	X (ждать) Y-а (сына)		NOM	DAT~NOM	TR	TR							
26	Armenian_Eastern	29	forget	X (forget) (about) Y	забывать	X (забывать) об Y-е		NOM	DATmasin	Y	NOM_DATmasin							
26	Armenian_Eastern	30	depend	X (depend) on Y	зависеть	X (зависеть) от Y-а		NOM	ABL	Y	NOM_ABL							
26	Armenian_Eastern	31	call	X (call) Y	звать	X (звать) Y-а		NOM	DAT~NOM	TR	TR							
26	Armenian_Eastern	32	get_to_know	X (get to know) Y	знакомиться	X (знакомиться) с Y-ом		NOM	DAThet	Y	NOM_DAThet							
26	Armenian_Eastern	33	know	X (know) Y	знать 	X (знать) Y-а		NOM	DAT~NOM	TR	TR							
