language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
15	Khmer	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y		SBJ	DO	TR	TR							
15	Khmer	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом		SBJ	DO	TR	TR							"Почему-то в сводных данных стояло ничего (как в статье), а языковых таблицах было скопировано какое-то загадочное COMP. Но вроде бы на самом деле это нормальная переходная конструкция (""иметь болезнь"")."
15	Khmer	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а		SBJ	DO	TR	TR							
15	Khmer	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)		SBJ	DO	TR	TR							
15	Khmer	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а	*	*	*	*								
15	Khmer	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)		SBJ	nung	Y	SBJ_nung							
15	Khmer	7	believe	X (believe) Y	верить	X (верить)Y-у		SBJ	lo	Y	SBJ_lo							
15	Khmer	8	take	X (take) Y	взять	X (брать) Y(-а)		SBJ	DO	TR	TR							
15	Khmer	9	see	X (see) Y	видеть	X (видеть) Y(-а)		SBJ	DO	TR	TR							
15	Khmer	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)	*	*	*	*								
15	Khmer	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом		SBJ	nung	Y	SBJ_nung							
15	Khmer	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)		SBJ	knong	Y	SBJ_knong							
15	Khmer	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а		SBJ	DO	TR	TR							
15	Khmer	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а		SBJ	pi	Y	SBJ_pi							
15	Khmer	15	drive	X (drive) Y	гнать	X (гнать) Y-а		SBJ	DO	TR	TR							
15	Khmer	16	bend	X (bend) Y	гнуть	X (гнуть) Y		SBJ	DO	TR	TR							
15	Khmer	17	tell	X (tell) Y	говорить	X (говорить) Y-у	*	*	*	*								
15	Khmer	18	hold	X (hold)Y	держать	X (держать) Y(-а)		SBJ	DO	TR	TR							
15	Khmer	19	catch_up	X (catch up) with Y	догнать	X (догонять) Y(-а)	*	*	*	*								
15	Khmer	20	milk	X (milk) Y	доить	X (доить) Y-а		SBJ	DO	TR	TR							
15	Khmer	21	reach	X (reach) Y	достичь	X (достичь) Y-а (берега) 		SBJ	DO	TR	TR							
15	Khmer	22	touch	X (touch) Y	дотронуться	X (дотрагиваться) до Y-а		SBJ	DO	TR	TR							
15	Khmer	23	fight	X (fight) with Y	драться	X (драться) с Y-ом		SBJ	ciemuey	Y	SBJ_ciemuey							
15	Khmer	24	be_friends	X (be friends) with Y	дружить	X (дружить) с Y-ом		SBJ	nung	Y	SBJ_nung							
15	Khmer	25	think	X (think) about Y	думать	X (думать) об Y-е (об отце)		SBJ	dal	Y	SBJ_dal							
15	Khmer	26	eat	X (eat) Y	есть	X (есть) Y		SBJ	DO	TR	TR							
15	Khmer	27	fry	X (fry) Y	жарить	X (жарить) Y		SBJ	DO	TR	TR							
15	Khmer	28	wait	X (wait) for Y	ждать	X (ждать) Y-а (сына)		SBJ	DO	TR	TR							
15	Khmer	29	forget	X (forget) (about) Y	забывать	X (забывать) об Y-е		SBJ	DO	TR	TR							
