language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
24	Spanish	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y		DAT	SBJ	X	DAT_SBJ							
24	Spanish	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом		*	*	*								иметь
24	Spanish	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а		SBJ	DO	TR	TR							
24	Spanish	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)		SBJ	DO	TR	TR							
24	Spanish	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а		DAT	SBJ	X	DAT_SBJ							"Еще есть ""имеет достаточно"", TR, не считаем"
24	Spanish	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)		SBJ	DAT	Y	SBJ_DAT							
24	Spanish	7	believe	X (believe) Y	верить	X (верить)Y-у		SBJ	DAT	Y	SBJ_DAT							
24	Spanish	8	take	X (take) Y	взять	X (брать) Y(-а)		SBJ	DO	TR	TR							
24	Spanish	9	see	X (see) Y	видеть	X (видеть) Y(-а)		SBJ	DO	TR	TR							
24	Spanish	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)		SBJ	en	Y	SBJ_en							
24	Spanish	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом		SBJ	con	Y	SBJ_con							
24	Spanish	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)		SBJ	en	Y	SBJ_en							
24	Spanish	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а		SBJ	DO	TR	TR							
24	Spanish	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а		SBJ	de	Y	SBJ_de							
24	Spanish	15	drive	X (drive) Y	гнать	X (гнать) Y-а		SBJ	DO	TR	TR							
24	Spanish	16	bend	X (bend) Y	гнуть	X (гнуть) Y		SBJ	DO	TR	TR							
24	Spanish	17	tell	X (tell) Y	говорить	X (говорить) Y-у		SBJ	DAT	Y	SBJ_DAT							
24	Spanish	18	hold	X (hold)Y	держать	X (держать) Y(-а)		SBJ	DO	TR	TR							
24	Spanish	19	catch_up	X (catch up) with Y	догнать	X (догонять) Y(-а)		SBJ	DO	TR	TR							
24	Spanish	20	milk	X (milk) Y	доить	X (доить) Y-а		SBJ	DO	TR	TR							
24	Spanish	21	reach	X (reach) Y	достичь	X (достичь) Y-а (берега) 		SBJ	DO	TR	TR							
24	Spanish	22	touch	X (touch) Y	дотронуться	X (дотрагиваться) до Y-а		SBJ	DO	TR	TR							
24	Spanish	23	fight	X (fight) with Y	драться	X (драться) с Y-ом		*	*	*								сочинение
24	Spanish	24	be_friends	X (be friends) with Y	дружить	X (дружить) с Y-ом		*	*	*								ИГ
24	Spanish	25	think	X (think) about Y	думать	X (думать) об Y-е (об отце)		SBJ	en	Y	SBJ_en							
24	Spanish	26	eat	X (eat) Y	есть	X (есть) Y		SBJ	DO	TR	TR							
24	Spanish	27	fry	X (fry) Y	жарить	X (жарить) Y		SBJ	DO	TR	TR							
24	Spanish	28	wait	X (wait) for Y	ждать	X (ждать) Y-а (сына)		SBJ	DO	TR	TR							
24	Spanish	29	forget	X (forget) (about) Y	забывать	X (забывать) об Y-е		DAT	SBJ	X	DAT_SBJ							
24	Spanish	30	depend	X (depend) on Y	зависеть	X (зависеть) от Y-а		SBJ	de	Y	SBJ_de							
24	Spanish	31	call	X (call) Y	звать	X (звать) Y-а		SBJ	DO	TR	TR							
24	Spanish	32	get_to_know	X (get to know) Y	знакомиться	X (знакомиться) с Y-ом		SBJ	DO	TR	TR							
24	Spanish	33	know	X (know) Y	знать 	X (знать) Y-а		SBJ	DO	TR	TR							
24	Spanish	34	play#instrument#	X (play) Y	играть	X (играть) на Y-е		SBJ	DO	TR	TR							
24	Spanish	35	avoid	X (avoid) Y	избегать	X (избегать) Y-а		SBJ	DO	TR	TR							
24	Spanish	36	make	X (make) Y	изготовить	X (изготовить) Y		SBJ	DO	TR	TR							
24	Spanish	37	make_fun	X (make fun) of Y	издеваться	X (издеваться) над Y-ом		SBJ	de	Y	SBJ_de							
24	Spanish	38	have	X (have) Y	иметь	X (иметь) Y		SBJ	DO	TR	TR							
24	Spanish	39	look_for	X (look for) Y	искать	X (искать) Y(-а)		SBJ	DO	TR	TR							
24	Spanish	40	paint	X (paint) Y	красить	X (красить) Y		SBJ	DO	TR	TR							
24	Spanish	41	bite	X (bite) Y	кусать	X (кусать) Y-а		SBJ	DO	TR	TR							
24	Spanish	42	forfeit	X (lose) Y	лишаться	X (лишаться) Y-а		SBJ	DO	TR	TR							
24	Spanish	43	try_to_catch	X (try to catch) Y	ловить	X (ловить) Y(-а)		*	*	*								Пытаться поймать
24	Spanish	44	break	X (break) Y	ломать	X (ломать) Y		SBJ	DO	TR	TR							
