language_no	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130
83		le_SBJ	SBJ_mi	TR		SBJ_le	SBJ_le	TR	TR	SBJ_al	SBJ_be	SBJ_el	TR	SBJ_mi	TR	TR	SBJ_le	TR	SBJ_el	TR	SBJ_el	SBJ_be	SBJ_im		SBJ_al	TR	TR	SBJ_le	TR	SBJ_be	SBJ_le	TR	TR	SBJ_be	SBJ_mi	TR	TR	le_SBJ	TR	TR	TR	TR	TR	TR	SBJ_le	TR	SBJ_be	SBJ_al	TR	TR	le_DO	TR	TR	SBJ_be	TR	le_SBJ	TR	TR	TR	TR	le_SBJ	SBJ_le	TR	SBJ_mi	SBJ_axarej	TR	SBJ_mi	TR	TR	TR	TR	TR	SBJ_le	TR	TR	TR	SBJ_le	TR	SBJ_be	SBJ_im	SBJ_le	SBJ_le	SBJ_legabej	SBJ_im	TR	TR	TR	SBJ_le	SBJ_axarej	SBJ_mi	SBJ_le	SBJ_le	TR	SBJ_im	SBJ_al	TR	SBJ_al	SBJ_im	SBJ_im	TR	SBJ_be	TR	TR	SBJ_be	TR	TR	TR	TR	TR	TR	SBJ_mi	SBJ_mi	SBJ_be	SBJ_al	SBJ_al	SBJ_be	SBJ_al	SBJ_mi	TR	SBJ_mi	TR	SBJ_le	SBJ_mi	TR	SBJ_mi	TR	SBJ_al	SBJ_al	TR	SBJ_be
85	GEN_NOM	NOM_COM	NOM_CONT	TR	DAT_NOM	NOM_AFF	NOM_SUPER.LAT	TR	AFF_NOM		AFF_NOM	NOM_ILLAT	NOM_SUPER.LAT	NOM_IN.EL	TR	TR	ERG_INST	CONT_NOM	NOM_CONT	TR	NOM_SUPER.LAT	ERG_SUPER	NOM_COM	NOM_COM	NOM_SUPER.LAT	TR	TR	NOM_SUPER.LAT	AFF_NOM		TR	AFF_NOM	AFF_NOM	TR	NOM_CONT.EL	TR	NOM_SUPER	GEN_NOM	TR	TR	ERG_SUPER	NOM_CONT.EL	TR	TR		AFF_NOM	NOM_INST	GEN_NOM	TR	TR	SUPER.LAT_NOM		NOM_SUPER.LAT	NOM_INST	AFF_NOM	DAT_NOM		AFF_NOM		TR	CONT_NOM	ERG_DAT	TR	NOM_CONT	NOM_CONT	TR	CONT.EL_GEN	TR	TR	TR	TR	TR	NOM_SUPER	NOM_SUPER.EL	TR	AFF_NOM	ERG_DAT	AFF_NOM	NOM_SUPER	ERG_INST	NOM_SUPER	NOM_SUPER.LAT	NOM_CONT.EL	NOM_COM	TR	TR	NOM_INTER	NOM_INST	NOM_CONT	NOM_SUPER.EL	NOM_SUPER.LAT	NOM_SUPER.LAT	AFF_NOM	NOM_COM	NOM_SUPER.LAT	TR	AFF_NOM	NOM_SUPER	NOM_COM	GEN_NOM	ERG_SUPER.LAT	TR	TR	NOM_INTER	TR	ERG_SUPER	ERG_SUPER	TR	TR	TR	TR	NOM_SUPER	NOM_SUPER.LAT	NOM_SUPER.LAT	GEN_SUPER.LAT	GEN_SUPER	GEN_SUPER.LAT	NOM_SUPER	AFF_NOM	ERG_CONT.EL	DAT_NOM	NOM_SUPER	NOM_SUPER	TR	NOM_CONT.EL	TR	GEN_SUPER.LAT		AFF_NOM	NOM_CONT.EL
