language_no	language_ru	language_en	contributor_ru	contributor_en	glottocode	data_collection_year	initial_release_date	last_release_date	macroarea	family (WALS)	genus (WALS)	latitude	longitude	contact_language	coding responsibility	payment	year when the language is mentioned as newly added in the yearly grant reports	markers.xlsx
1	английский	English	Наталья Николаевна Логвинова	Natalia Logvinova	stan1293	2021	December 1, 2022	December 1, 2022	Europe	Indo-European	Germanic	53	-1	Russian	Natalia Logvinova	Paid in 2021	2021	yes
2	японский	Japanese	Артемий Андреевич Кузнецов	Artemii Kuznetsov	nucl1643	2021	December 1, 2022	December 1, 2022	East and Southeast Asia	Japanese	Japanese	37	140	Russian, English	Elizaveta Zabelina	Paid in 2021	2021	yes
3	русский	Russian	Сергей Сергеевич Сай	Sergey Say	russ1263	2021	December 1, 2022	December 1, 2022	Europe	Indo-European	Slavic	58	38	English	Sergey Say	Paid in 2021	2021	yes
4	французский	French	Елена Евгеньевна Корди, Елизавета Александровна Забелина	Elena Kordi, Elizaveta Zabelina	stan1290	2021	December 1, 2022	December 1, 2022	Europe	Indo-European	Romance	48	2	Russian	Elizaveta Zabelina	Paid in 2021	2021	yes
5	каталанский	Catalan	Татьяна Владимировна Репнина	Tatiana Repnina	stan1289	2021	December 1, 2022	December 1, 2022	Europe	Indo-European	Romance	41	2	English	Elizaveta Zabelina	Paid in 2021	2021	yes
6	ассирийский новоарамейский	Assyrian Neo-Aramaic	Наталья Николаевна Логвинова	Natalia Logvinova	assy1241 	2021	December 1, 2022	December 1, 2022	Europe	Afroasiatic	Semitic	44	40	Russian	Natalia Logvinova	Paid in 2021	2021	yes
7	литовский	Lithuanian	Эмма Генюшене	Emma Geniušienė	lith1251	2021	December 1, 2022	December 1, 2022	Europe	Indo-European	Baltic	55	24	Russian, English	Elizaveta Zabelina	Paid in 2021	2021	yes
8	гуро	Guro	Ольга Васильевна Кузнецова	Olga Kuznetsova	guro1248	2021	December 1, 2022	December 1, 2022	Africa	Mande	Eastern Mande	7	-6	French	Natalia Logvinova	Paid in 2021	2021	yes
9	телугу	Telugu	Елизавета Александровна Забелина	Elizaveta Zabelina	telu1262	2021	December 1, 2022	December 1, 2022	South Asia	Dravidian	South-Central Dravidian	16	79	English	Elizaveta Zabelina	Paid in 2021	2021	yes
10	белорусский	Belarusian	Наталья Михайловна Заика	Natalia Zaika	bela1254	2021	December 1, 2022	December 1, 2022	Europe	Indo-European	Slavic	54	28	Russian	Natalia Logvinova	Paid in 2021	2021	yes
