language_no	number_of_nominal_cases	overallN	transitives	intransitives	transitivity_ratio	intransitivity_ratio	number_of_classes	entropy_nat	normalised_entropy	entropy_of_intransitives_nat	X	Y	XY
60	1	114	41	73	0.36	0.64	32	2.539523760250256	2.5141285226477534	2.945740814935149	17	56	0
69	4	125	40	85	0.32	0.6799999999999999	37	2.7330550812548697	2.705724530442321	3.0973317995330047	22	63	0
81	26	115	32	83	0.28	0.72	30	2.6533947353231966	2.6268607879699646	2.8571146883988274	26	50	7
115	42	127	34	93	0.27	0.73	30	2.6725164141373705	2.645791249995997	2.8561917775850256	24	60	9
85	21	123	36	87	0.29	0.71	26	2.6037051207884625	2.577668069580578	2.8264108305004854	24	58	5
149	1	126	66	60	0.52	0.48	17	1.7844412073814806	1.7665967953076658	2.294099309354175	10	48	2
138	1	125	69	56	0.55	0.44999999999999996	13	1.6022037104044806	1.5861816733004357	2.0412373238598516	9	43	4
137	1	123	71	52	0.58	0.42000000000000004	10	1.4695235182605126	1.4548282830779076	1.8647627244500637	1	48	3
2	3	126	72	54	0.57	0.43000000000000005	14	1.5999132198137567	1.583914087615619	2.139678601931	5	49	0
111	38	120	38	82	0.32	0.6799999999999999	23	2.4036519372831027	2.3796154179102715	2.603883849821926	28	50	4
26	5	127	63	64	0.5	0.5	12	1.7241206851014022	1.7068794782503882	2.0458995644581646	6	58	0
76	1	124	49	75	0.4	0.6	16	2.071137957813905	2.050426578235766	2.3148932767539145	6	58	11
119	24	124	35	89	0.28	0.72	31	2.770572384588026	2.7428666607421457	3.007946552450714	23	55	11
27	6	128	54	74	0.42	0.5800000000000001	13	1.644135434555457	1.6276940802099025	1.6661542872022541	7	65	2
128	1	114	79	35	0.69	0.31000000000000005	20	1.4237291425947285	1.4094918511687813	2.628630332452878	1	30	4
94	1	109	53	56	0.49	0.51	14	1.7528927758292863	1.7528927758292863	2.063456419675827	14	42	0
148	1	112	51	61	0.46	0.54	17	1.9675087120714314	1.947833624950717	2.34713959263053	10	51	0
65	6	130	56	74	0.43	0.5700000000000001	21	2.209368242246613	2.187274559824147	2.6805257366366337	6	66	2
127	16	124	35	89	0.28	0.72	26	2.611317999305509	2.585204819312454	2.8091498521027924	14	69	6
74	1	130	68	62	0.52	0.48	13	1.645059100562788	1.62860850955716	1.9981783925598013	5	56	1
90	1	127	71	56	0.56	0.43999999999999995	13	1.6086909918234849	1.59260408190525	2.0921778916507714	7	49	0
78	10	117	34	83	0.29	0.71	22	2.377210599130109	2.3534384931388077	2.501437566397015	26	51	6
30	1	119	80	39	0.67	0.32999999999999996	19	1.4777986206624074	1.4630206344557832	2.5790609013210557	3	36	0
120	34	122	36	86	0.3	0.7	23	2.3005238414279647	2.277518603013685	2.402952214639253	24	60	2
73	6	129	63	66	0.49	0.51	23	2.077553715433886	2.056778178279547	2.706414088859488	9	56	1
63	7	128	57	71	0.45	0.55	24	2.2205633141670473	2.1983576810253767	2.7644566756080833	6	63	2
89	1	127	75	52	0.59	0.41000000000000003	12	1.5583430856362859	1.542759654779923	2.1533479572504755	0	52	0
79	26	122	36	86	0.3	0.7	27	2.542453275564954	2.5170287428093046	2.74615443515917	16	65	5
122	9	121	40	81	0.33	0.6699999999999999	18	2.1556659017812407	2.1341092427634285	2.272228120880856	16	62	3
118	37	123	42	81	0.34	0.6599999999999999	22	2.3873606150155275	2.363487008865372	2.650360313981128	16	59	6
141	26	117	30	87	0.26	0.74	22	2.397229400479492	2.3732571064746972	2.458292152385936	27	58	2
124	24	111	33	78	0.3	0.7	24	2.4247161193377957	2.4004689581444176	2.5845342937308753	23	54	1
109	34	117	35	82	0.3	0.7	25	2.534497350574577	2.509152377068831	2.7457317082156854	22	58	2
32	1	125	75	50	0.6	0.4	13	1.489962241288975	1.4750626188760854	2.042376435699296	0	50	0
46	6	104	57	47	0.55	0.44999999999999996	11	1.5253318534766502	1.5253318534766502	1.8516748680385313	6	41	0
29	2	127	81	46	0.64	0.36	14	1.4050083591659854	1.3909582755743255	2.0715692913218473	0	46	0
4	14	128	32	96	0.25	0.75	16	1.9935966282689146	1.9736606619862254	1.908348644866809	5	90	1
66	15	129	42	87	0.33	0.6699999999999999	15	1.886986538649732	1.8681166732632346	1.8623171679771255	4	80	3
9	1	127	73	54	0.57	0.43000000000000005	12	1.5763312193625358	1.5605679071689105	2.103536714761191	5	49	0
58	1	124	71	53	0.57	0.43000000000000005	13	1.5892697304741172	1.5733770331693762	2.1213259458860714	3	50	0
143	1	104	44	60	0.42	0.5800000000000001	17	1.941583137495209	1.941583137495209	2.184550173575475	11	49	0
44	7	130	34	96	0.26	0.74	17	2.1123850912570488	2.0912612403444784	2.0823361200213792	27	64	5
10	4	129	71	58	0.55	0.44999999999999996	21	1.8786878758456853	1.8599009970872284	2.648118994880403	5	53	0
83	1	127	61	66	0.48	0.52	11	1.7337498050181999	1.716412306968018	2.0038633931119145	5	61	0
135	5	124	48	76	0.39	0.61	23	2.3001355834644617	2.277134227629817	2.663885271051429	12	56	8
142	1	127	76	51	0.6	0.4	12	1.4523262574444953	1.4378029948700504	1.939068938155129	0	49	2
25	2	122	50	72	0.41	0.5900000000000001	27	2.221346520227219	2.199133055024947	2.617150261817037	11	46	15
33	1	129	77	52	0.6	0.4	11	1.4924198928068784	1.4774956938788095	2.029693401123066	10	42	0
123	22	126	31	95	0.25	0.75	35	2.818627448326114	2.7904411738428525	2.998394171097843	25	58	12
77	6	130	62	68	0.48	0.52	12	1.5928218571287538	1.5768936385574663	1.7220032160629895	8	60	0
88	4	108	55	53	0.51	0.49	12	1.6848439079140056	1.6848439079140056	2.0211653987046274	5	48	0
116	2	127	89	38	0.7	0.30000000000000004	10	1.1417315961744745	1.1303142802127297	1.7764490449915855	0	38	0
104	46	123	34	89	0.28	0.72	33	2.7722988437281253	2.744575855290844	3.0166177169759774	27	54	8
42	23	129	54	75	0.42	0.5800000000000001	26	2.331567200200932	2.3082515281989227	2.840974875906115	9	66	0
34	16	127	57	70	0.45	0.55	20	2.112510357533648	2.0913852539583115	2.5846520662365253	9	61	0
125	1	90	44	46	0.49	0.51	12	1.657444708964111	1.674019156053752	1.8871522088684354	6	40	0
113	23	125	37	88	0.3	0.7	32	2.7916516156775883	2.7637350995208125	3.1025776958957887	18	65	5
134	21	125	40	85	0.32	0.6799999999999999	29	2.641262381579254	2.6148497577634617	2.962342535304159	15	67	3
133	19	127	39	88	0.31	0.69	35	2.8304374823086276	2.8021331074855413	3.1947539107510576	16	65	7
105	6	127	53	74	0.42	0.5800000000000001	15	1.6863529162606832	1.6694893870980763	1.7281263337869817	7	65	2
99	1	115	43	72	0.37	0.63	17	2.1373987368967957	2.1160247495278277	2.3581281322963457	12	52	8
136	2	106	48	58	0.45	0.55	21	2.111486904258974	2.111486904258974	2.6002829484628127	3	54	1
144	34	124	35	89	0.28	0.72	27	2.6062625405662048	2.580199915160543	2.802106291612077	20	67	2
62	6	128	80	48	0.62	0.38	12	1.3996836858607253	1.3856868490021181	1.9683211938739813	5	43	0
106	9	124	43	81	0.35	0.65	13	1.9135155468932536	1.8943803914243211	1.9412716071978957	21	55	5
129	15	128	34	94	0.27	0.73	28	2.702802124741814	2.675774103494396	2.89217835697416	21	63	10
67	1	129	60	69	0.47	0.53	14	1.8405211741437575	1.82211596240232	2.149644258730811	7	62	0
145	1	128	81	47	0.63	0.37	15	1.4853458529705754	1.4704923944408697	2.2547173235609117	2	45	0
100	1	115	52	63	0.45	0.55	20	2.0155258987008406	1.9953706397138322	2.42222928123371	12	50	1
112	1	105	52	53	0.5	0.5	16	1.8130410723823238	1.8130410723823238	2.218747558832089	8	43	2
96	6	95	51	44	0.54	0.45999999999999996	17	1.744921458951695	1.744921458951695	2.2767428422659943	3	40	1
121	33	124	33	91	0.27	0.73	30	2.782811523007373	2.754983407777299	3.0024909817507366	27	56	8
102	9	128	34	94	0.27	0.73	17	2.02743143823589	2.007157123853531	1.9725246562001355	28	61	5
45	9	121	70	51	0.58	0.42000000000000004	11	1.3905312963744647	1.37662598341072	1.6839491187549083	2	47	2
91	8	90	59	31	0.66	0.33999999999999997	8	1.157731522187789	1.169308837409667	1.4916541676340052	2	29	0
38	1	129	84	45	0.65	0.35	14	1.4435984559493753	1.4291624713898816	2.2843738621625858	2	43	0
95	7	129	84	45	0.65	0.35	17	1.44262692437933	1.4282006551355366	2.281588804995124	4	40	1
140	2	119	59	60	0.5	0.5	12	1.4890550934027846	1.4741645424687568	1.5786207226403801	2	57	1
31	7	129	53	76	0.41	0.5900000000000001	19	2.2088862134412883	2.1867973513068755	2.599891140148607	5	69	2
87	1	129	68	61	0.53	0.47	11	1.4488031109834851	1.4343150798736504	1.6011414888649358	2	59	0
39	2	125	73	52	0.58	0.42000000000000004	16	1.6491786410791907	1.6326868546683988	2.3322370296572688	6	42	4
28	8	121	51	70	0.42	0.5800000000000001	20	2.1539969406865387	2.1324569712796735	2.5154140189747336	8	58	4
1	6	130	54	76	0.42	0.5800000000000001	23	2.267104688054901	2.2444336411743517	2.716907937686096	6	68	2
68	15	117	31	86	0.26	0.74	28	2.712338362724177	2.685214979096935	2.9034501033050266	24	56	6
110	17	123	35	88	0.28	0.72	35	2.7980424792842205	2.7700620544913783	3.0761746712200395	23	56	9
147	15	120	31	89	0.26	0.74	35	2.8284609831205616	2.800176373289356	3.0433544841103566	22	59	8
117	15	126	35	91	0.28	0.72	28	2.710527359117816	2.6834220855266375	2.9349486177815542	20	57	14
108	15	124	36	88	0.29	0.71	32	2.696093619797796	2.669132683599818	2.950147911118232	23	57	8
80	9	120	67	53	0.56	0.43999999999999995	17	1.7137856523532136	1.6966477958296815	2.3263235106791944	4	49	0
146	62	123	38	85	0.31	0.69	30	2.6232821450301382	2.597049323579837	2.9013959882256377	25	59	1
36	6	128	64	64	0.5	0.5	22	2.007997105513862	1.9879171344587234	2.6296998499078335	9	54	1
92	1	120	54	66	0.45	0.55	24	2.2366589468975375	2.2142923574285622	2.8154911512435428	10	55	1
98	6	129	62	67	0.48	0.52	23	2.0688887534853024	2.0481998659504494	2.650262483715504	4	63	0
61	6	129	65	64	0.5	0.5	21	1.9779190575251864	1.9581398669499346	2.5896788771301367	8	55	1
24	1	127	74	53	0.58	0.42000000000000004	11	1.5002377938119122	1.485235415873793	1.9668816631932606	10	43	0
107	7	128	34	94	0.27	0.73	20	2.039578318134752	2.0191825349534045	1.9890650884028411	30	57	7
84	1	128	81	47	0.63	0.37	14	1.4451329086483033	1.4306815795618204	2.145201219874725	0	47	0
126	42	125	32	93	0.26	0.74	33	2.8048626964062517	2.7768140694421892	3.0054185122670733	24	59	10
103	3	125	63	62	0.5	0.5	16	1.7141183587227986	1.6969771751355707	2.058474150210072	3	47	12
97	7	121	56	65	0.46	0.54	20	2.0875335979205007	2.0666582619412956	2.6008581008547633	13	41	11
5	20	118	36	82	0.31	0.69	31	2.695062150645186	2.6681115291387343	2.9931000993813655	18	58	6
139	4	127	92	35	0.72	0.28	9	1.0659315990075082	1.055272283017433	1.7315224095529613	1	34	0
50	6	127	60	67	0.47	0.53	11	1.4841596535808592	1.4693180570450506	1.5022626157768473	6	59	2
114	1	122	42	80	0.34	0.6599999999999999	27	2.5699702914811375	2.544270588566326	2.937375785563166	4	67	9
132	1	106	77	29	0.73	0.27	10	1.0784743686532459	1.0784743686532459	1.7971839880588403	1	27	1
75	10	119	59	60	0.5	0.5	21	1.9636501292522996	1.9440136279597766	2.5199008770752513	9	49	2
72	15	127	52	75	0.41	0.5900000000000001	22	2.2019009791895496	2.179881969397654	2.5827459501105245	9	64	2
41	7	130	57	73	0.44	0.56	21	2.2017333545852757	2.179716021039423	2.700045465852906	7	64	2
86	8	108	66	42	0.61	0.39	13	1.3678895584035802	1.3678895584035802	1.7990770647575365	5	35	2
93	6	129	63	66	0.49	0.51	12	1.5703053109731004	1.5546022578633694	1.7149740255952255	9	57	0
130	1	128	95	33	0.74	0.26	7	0.9245849674187826	0.9153391177445948	1.372425947828437	4	28	1
101	11	110	70	40	0.64	0.36	14	1.4416618448542728	1.42724522640573	2.1619951951204186	3	37	0
131	2	109	52	57	0.48	0.52	26	2.1829056883955142	2.1829056883955142	2.8508490614901403	3	53	1
23	4	128	67	61	0.52	0.48	14	1.6741406654244546	1.65739925877021	2.060784305022718	9	51	1
11	20	65	29	36	0.45	0.55	21	2.2041883702053258	2.2703140213114854	2.738759232615485	14	22	0
16	6	113	52	61	0.46	0.54	11	1.5885499663251705	1.5726644666619187	1.664578717394361	6	55	0
8	16	116	65	51	0.56	0.43999999999999995	16	1.6523622697892093	1.635838647091317	2.198349822340529	4	47	0
57	4	116	67	49	0.58	0.42000000000000004	15	1.6577590176106685	1.6411814274345617	2.3121874281860118	9	38	2
52	7	120	56	64	0.47	0.53	14	1.693837136321449	1.6768987649582345	1.8804634256393082	8	56	0
37	13	121	71	50	0.59	0.41000000000000003	9	1.322389404792389	1.309165510744465	1.5593976700802816	5	45	0
71	8	128	73	55	0.57	0.43000000000000005	17	1.666211977167014	1.649549857395344	2.287674976132459	9	45	1
43	12	110	52	58	0.47	0.53	17	2.012732862978847	1.9926055343490583	2.505485218421274	6	52	0
55	14	118	67	51	0.57	0.43000000000000005	13	1.6509033631402994	1.6343943295088963	2.237320077092985	7	44	0
7	13	116	44	72	0.38	0.62	17	2.0698321103179316	2.049133789214752	2.2653939873625166	3	67	2
70	1	92	42	50	0.46	0.54	25	2.269010086738551	2.2917001876059366	2.906553062614875	6	33	11
22	5	121	67	54	0.55	0.44999999999999996	12	1.3786071366518178	1.3648210652852997	1.5488953987283303	3	51	0
21	4	127	85	42	0.67	0.32999999999999996	7	1.1144731500329725	1.1033284185326429	1.450805020083924	6	36	0
3	1	57	37	20	0.65	0.35	12	1.4526941371466733	1.5108019026325403	2.2934125894853574	4	16	0
