language_no	number_of_nominal_cases	overallN	transitives	intransitives	transitivity_ratio	intransitivity_ratio	number_of_classes	entropy_nat	normalised_entropy	entropy_of_intransitives_nat	X	Y	XY
18	1	92	39	53	0.42	0.5800000000000001	18	2.077876924646312	2.0986556938927747	2.423858558420144	5	48	0
53	21	126	62	64	0.49	0.51	19	1.9456164769746713	1.9261603122049247	2.466046953605267	8	53	3
64	4	126	45	81	0.36	0.64	26	2.432959216360028	2.408629624196428	2.770759685847027	5	73	3
40	8	104	34	70	0.33	0.6699999999999999	16	2.063134443406682	2.063134443406682	2.1262893340570965	24	44	2
12	8	115	62	53	0.54	0.45999999999999996	9	1.3710164738496995	1.3573063091112025	1.4775000570188643	10	41	2
48	1	115	91	24	0.79	0.20999999999999996	6	0.7159323616753088	0.7087730380585557	0.9761055771779501	6	18	0
14	9	121	61	60	0.5	0.5	13	1.6211203615594623	1.6049091579438677	1.8714814529897879	7	53	0
15	1	81	60	21	0.74	0.26	7	1.0063867195705505	1.016450586766256	1.6744089372507132	0	21	0
17	5	105	52	53	0.5	0.5	12	1.7688689772043156	1.7688689772043156	2.131236804234147	5	45	3
20	18	116	40	76	0.34	0.6599999999999999	24	2.431079541097798	2.4067687456868203	2.727364166122694	16	56	4
13	7	127	56	71	0.44	0.56	17	2.0450989478196866	2.0246479583414896	2.4307855259712796	3	64	4
19	1	87	49	38	0.56	0.43999999999999995	14	1.6867056311926751	1.703572687504602	2.293075059679929	6	32	0
47	1	115	64	51	0.56	0.43999999999999995	16	1.5557561959602868	1.540198634000684	1.9595371054435067	7	44	0
59	10	122	61	61	0.5	0.5	13	1.7788755944597798	1.761086838515182	2.1714568277996693	8	53	0
54	17	115	58	57	0.5	0.5	16	1.8924033228049453	1.873479289576896	2.4196281445448538	6	50	1
35	9	116	45	71	0.39	0.61	14	1.9372775911173297	1.9179048152061564	2.074053826913657	7	64	0
82	8	108	77	31	0.71	0.29000000000000004	16	1.2687309366139652	1.2687309366139652	2.331593207956958	1	30	0
49	1	107	63	44	0.59	0.41000000000000003	10	1.220308987287676	1.220308987287676	1.320504727441532	8	36	0
6	8	129	60	69	0.47	0.53	15	1.8426010860761988	1.8241750752154369	2.15353278973494	7	60	2
56	9	102	63	39	0.62	0.38	11	1.3681897061404027	1.3681897061404027	1.838577308539697	4	35	0
51	8	124	66	58	0.53	0.47	12	1.5440177810966913	1.5285776032857243	1.8235551432138195	4	54	0
