language_no	predicate_no	verb	X	Y	locus	valency_pattern
69	96	зы.щы-хы	ERG	ABS	TR	TR
69	97	пкIыхьэу лъэгъу	ERG	ABS	TR	TR
69	98	д-е-гъэ.щтэ	ERG	COM.DAT	Y	ERG_COM.DAT
69	99	фэ-губжы	ABS	BEN	Y	ABS_BEN
69	100	уасэ	INAL.POSS	ABS	X	INAL.POSS_ABS
69	101	е-о	ABS	DAT	Y	ABS_DAT
69	102	и-тэкъо	ERG	ABS	TR	TR
69	103	гъэ.кIоды	ERG	ABS	TR	TR
69	104	чI-и-хьэ	ABS	LOC.UNDER.LOC.CONT	Y	ABS_LOC.UNDER.LOC.CONT
69	105	укIы	ERG	ABS	TR	TR
69	106	е-о	ABS	DAT	Y	ABS_DAT
69	107	е-бэу	ABS	DAT	Y	ABS_DAT
69	108	е-джэ	ABS	DAT	Y	ABS_DAT
69	109	гъэ-хъые	ERG	ABS	TR	TR
69	110	шъхьэкIафэ фэ-шIы	ABS	BEN	Y	ABS_BEN
69	111	зэ-пэсы + NEG	ERG	ABS	TR	TR
69	112	фэ-разэ	ABS	BEN	Y	ABS_BEN
69	113	шIу лъэгъу	ERG	ABS	TR	TR
69	114	цыхьэ фэ-шIы	ERG	BEN	Y	ERG_BEN
69	115	гу гъу	*	*	*	
69	116	е-хъопсэ	ABS	DAT	Y	ABS_DAT
69	117	фэ-губжы	ABS	BEN	Y	ABS_BEN
69	118	гъэ.шIэгъо	ERG	ABS	TR	TR
69	119	и-кIэсэ	POSS	ABS	X	POSS_ABS
69	120	*	*	*	*	
69	121	фэ-е	ABS	BEN	Y	ABS_BEN
69	122	фэ-губжы.гъэ	ABS	BEN	Y	ABS_BEN
69	123	зы-фэ-гъэ.гусэ	ERG	BEN	Y	ERG_BEN
69	124	гу хэ-гъэ.кIы	*	*	*	
69	125	гъэ.шIэгъо	ERG	ABS	TR	TR
69	126	гу те.фэ+neg	*	*	*	
69	127	гукъэо фэ-хъу	BEN	ABS	X	BEN_ABS
69	128	гу гъэ.пэ	*	*	*	
69	129	гу рихьы	*	*	*	
69	130	те-укIыты.хьа	ABS	LOC.TOP	Y	ABS_LOC.TOP
23	1		DAT	NOM	X	DAT_NOM
23	2		*	*	*	
23	3		NOM	ngaNOM	Y	NOM_ngaNOM
23	4		NOM	ACC	TR	TR
23	5		DAT	NOM	X	DAT_NOM
23	6		NOM	DAT	Y	NOM_DAT
23	7		NOM	DAT	Y	NOM_DAT
23	8		NOM	ACC	TR	TR
23	9		NOM	ACC	TR	TR
23	10		NOM	neACC	Y	NOM_neACC
23	11		NOM	meACC	Y	NOM_meACC
23	12		NOM	neACC	Y	NOM_neACC
23	13		NOM	ndajABL	Y	NOM_ndajABL
23	14		NOM	ngaNOM	Y	NOM_ngaNOM
23	15		NOM	ACC	TR	TR
23	16		NOM	ACC	TR	TR
23	17		NOM	DAT	Y	NOM_DAT
23	18		NOM	ACC	TR	TR
23	19		NOM	ACC	TR	TR
23	20		NOM	ACC	TR	TR
23	21		NOM	ACC	TR	TR
23	22		NOM	ACC	TR	TR
23	23		NOM	meACC	Y	NOM_meACC
23	24		NOM	meACC	Y	NOM_meACC
23	25		NOM	perACC	Y	NOM_perACC
23	26		NOM	ACC	TR	TR
23	27		NOM	ACC	TR	TR
23	28		NOM	ACC	TR	TR
23	29		NOM	perACC	Y	NOM_perACC
23	30		NOM	ngaNOM	Y	NOM_ngaNOM
23	31		NOM	ACC	TR	TR
23	32		NOM	meACC	Y	NOM_meACC
23	33		NOM	ACC	TR	TR
23	34		NOM	DAT	Y	NOM_DAT
23	35		NOM	GEN	Y	NOM_GEN
23	36		NOM	ACC	TR	TR
23	37		NOM	meACC	Y	NOM_meACC
23	38		NOM	ACC	TR	TR
23	39		NOM	ACC	TR	TR
23	40		NOM	ACC	TR	TR
23	41		NOM	ACC	TR	TR
23	42		NOM	ACC	TR	TR
23	43		NOM	ACC	TR	TR
23	44		NOM	ACC	TR	TR
23	45		NOM	DAT	Y	NOM_DAT
23	46		NOM	ACC	TR	TR
23	47		NOM	ACC	TR	TR
23	48		NOM	perACC	Y	NOM_perACC
23	49		NOM	ACC	TR	TR
23	50		NOM	ACC	TR	TR
23	51		NOM	NOM	Y	NOM_NOM
23	52		NOM	ACC	TR	TR
23	53		NOM	ACC	TR	TR
23	54		NOM	meACC	Y	NOM_meACC
23	55		NOM	ACC	TR	TR
23	56		DAT	NOM	X	DAT_NOM
23	57		NOM	ACC	TR	TR
23	58		DAT	NOM	X	DAT_NOM
23	59		DAT	NOM	X	DAT_NOM
23	60		NOM	ACC	TR	TR
23	61		DAT	NOM	X	DAT_NOM
23	62		NOM	DAT	Y	NOM_DAT
23	63		NOM	ACC	TR	TR
23	64		NOM	ngaNOM	Y	NOM_ngaNOM
23	65		NOM	pasABL	Y	NOM_pasABL
23	66		NOM	ACC	TR	TR
23	67		NOM	ABL	Y	NOM_ABL
23	68		NOM	ACC	TR	TR
23	69		NOM	ACC	TR	TR
23	70		NOM	ACC	TR	TR
23	71		NOM	ACC	TR	TR
23	72		NOM	ACC	TR	TR
23	73		NOM	meACC	Y	NOM_meACC
23	74		NOM	ACC	TR	TR
23	75		NOM	ACC	TR	TR
23	76		NOM	ACC	TR	TR
23	77		NOM	ACC	TR	TR
23	78		NOM	ACC	TR	TR
23	79		NOM	neACC	Y	NOM_neACC
23	80		NOM	meACC	Y	NOM_meACC
23	81		NOM	neACC	Y	NOM_neACC
23	82		NOM	tekNOM	Y	NON_tekNOM
23	83		NOM	DAT	Y	NOM_DAT
23	84		NOM	meACC	Y	NOM_meACC
23	85		NOM	ACC	TR	TR
23	86		NOM	ACC	TR	TR
23	87		NOM	ACC	TR	TR
23	88		NOM	perACC	Y	NOM_perACC
23	89		NOM	ACC	TR	TR
23	90		NOM	ngaNOM	Y	NOM_ngaNOM
23	91		NOM	ACC	TR	TR
23	92		NOM	ACC	TR	TR
23	93		NOM	ACC	TR	TR
23	94		NOM	meACC	Y	NOM_meACC
23	95		NOM	ACC	TR	TR
23	96		NOM	ACC	TR	TR
23	97		DAT	NOM	X	DAT_NOM
23	98		NOM	meACC	Y	NOM_meACC
23	99		NOM	meACC	Y	NOM_meACC
23	100		NOM	ACC	TR	TR
23	101		*	*	*	
23	102		NOM	ACC	TR	TR
23	103		NOM	ACC	TR	TR
23	104		NOM	neACC	Y	NOM_neACC
23	105		NOM	ACC	TR	TR
23	106		NOM	ACC	TR	TR
23	107		NOM	ACC	TR	TR
23	108		NOM	ACC	TR	TR
23	109		NOM	ACC	TR	TR
23	110		NOM	ACC	TR	TR
23	111		NOM	ngaNOM	Y	NOM_ngaNOM
23	112		NOM	meACC	Y	NOM_meACC
23	113		NOM	meACC	Y	NOM_meACC
23	114		NOM	DAT	Y	NOM_DAT
23	115		DAT	NOM	X	DAT_NOM
23	116		NOM	ACC	TR	TR
23	117		NOM	meACC	Y	NOM_meACC
23	118		NOM	ngaNOM	Y	NOM_ngaNOM
23	119		DAT	NOM	X	DAT_NOM
23	120		NOM	meACC	Y	NOM_meACC
23	121		NOM	ACC	TR	TR
23	122		NOM	meACC	Y	NOM_meACC
23	123		NOM	ngaNOM	Y	NOM_ngaNOM
23	124		NOM	ACC	TR	TR
23	125		NOM	ngaNOM	Y	NOM_ngaNOM
23	126		NOM	ACC	TR	TR
23	127		NOM	ngaNOM	Y	NOM_ngaNOM
23	128		NOM	meACC	Y	NOM_meACC
23	129		NOM	ACC	TR	TR
23	130		DAT	perACC	XY	DAT_perACC
2	1		*	*	*	
2	2		NOM	biGEN	Y	NOM_biGEN
2	3		NOM	minGEN	Y	NOM_minGEN
2	4		NOM	ACC	TR	TR
2	5		liGEN	NOM	X	liGEN_NOM
2	6		NOM	ACC	TR	TR
2	7		NOM	ACC	TR	TR
2	8		NOM	ACC	TR	TR
2	9		NOM	ACC	TR	TR
2	10		NOM	alaaGEN	Y	NOM_alaaGEN
2	11		NOM	biGEN	Y	NOM_biGEN
2	12		NOM	ACC	TR	TR
2	13		*	*	*	
2	14		NOM	minGEN	Y	NOM_minGEN
2	15		NOM	ACC	TR	TR
2	16		NOM	ACC	TR	TR
2	17		NOM	liGEN	Y	NOM_liGEN
2	18		NOM	ACC	TR	TR
2	19		NOM	biGEN	Y	NOM_biGEN
2	20		NOM	ACC	TR	TR
2	21		NOM	ACC	TR	TR
2	22		NOM	ACC	TR	TR
2	23		NOM	maaGEN	Y	NOM_maaGEN
2	24		NOM	ACC	TR	TR
2	25		NOM	biGEN	Y	NOM_biGEN
2	26		NOM	ACC	TR	TR
2	27		NOM	ACC	TR	TR
2	28		NOM	ACC	TR	TR
2	29		NOM	ACC	TR	TR
2	30		NOM	biGEN	Y	NOM_biGEN
2	31		NOM	ACC	TR	TR
2	32		NOM	alaaGEN	Y	NOM_alaaGEN
2	33		NOM	ACC	TR	TR
2	34		NOM	alaaGEN	Y	NOM_alaaGEN
2	35		NOM	ACC	TR	TR
2	36		NOM	ACC	TR	TR
2	37		NOM	alaaGEN	Y	NOM_alaaGEN
2	38		indaGEN	NOM	X	indaGEN_NOM
2	39		NOM	anGEN	Y	NOM_anGEN
2	40		NOM	ACC	TR	TR
2	41		NOM	ACC	TR	TR
2	42		NOM	ACC	TR	TR
2	43		NOM	ACC	TR	TR
2	44		NOM	ACC	TR	TR
2	45		NOM	ACC	TR	TR
2	46		NOM	ACC	TR	TR
2	47		NOM	biGEN	Y	NOM_biGEN
2	48		NOM	biGEN	Y	NOM_biGEN
2	49		NOM	ACC	TR	TR
2	50		NOM	ACC	TR	TR
2	51		NOM	NOM	Y	NOM_NOM
2	52		NOM	ACC	TR	TR
2	53		NOM	ACC	TR	TR
2	54		NOM	biGEN	Y	NOM_biGEN
2	55		NOM	ACC	TR	TR
2	56		ACC	NOM	X	ACC_NOM
2	57		NOM	ACC	TR	TR
2	58		NOM	ACC	TR	TR
2	59		NOM	ilaaGEN	Y	NOM_ilaaGEN
2	60		NOM	ACC	TR	TR
2	61		indaGEN	NOM	X	indaGEN_NOM
2	62		NOM	ACC	TR	TR
2	63		NOM	ACC	TR	TR
2	64		NOM	anGEN	Y	NOM_anGEN
2	65		NOM	anGEN	Y	NOM_anGEN
2	66		NOM	ACC	TR	TR
2	67		minGEN	NOM	X	minGEN_NOM
2	68		NOM	ACC	TR	TR
2	69		NOM	ACC	TR	TR
2	70		NOM	ACC	TR	TR
2	71		NOM	ACC	TR	TR
2	72		NOM	ACC	TR	TR
2	73		NOM	ACC	TR	TR
2	74		NOM	ACC	TR	TR
2	75		NOM	ACC	TR	TR
2	76		NOM	ACC	TR	TR
2	77		NOM	ACC	TR	TR
2	78		NOM	ACC	TR	TR
2	79		NOM	alaaGEN	Y	NOM_alaaGEN
2	80		NOM	biGEN	Y	NOM_biGEN
2	81		NOM	biGEN	Y	NOM_biGEN
2	82		*	*	*	
2	83		NOM	biGEN	Y	NOM_biGEN
2	84		NOM	maaGEN	Y	NOM_maaGEN
2	85		NOM	ACC	TR	TR
2	86		NOM	ACC	TR	TR
2	87		NOM	ACC	TR	TR
2	88		NOM	ilaaGEN	Y	NOM_ilaaGEN
2	89		NOM	ACC	TR	TR
2	90		NOM	minGEN	Y	NOM_minGEN
2	91		NOM	ACC	TR	TR
2	92		*	*	*	
2	93		NOM	ACC	TR	TR
2	94		NOM	maaGEN	Y	NOM_maaGEN
2	95		NOM	ilaaGEN	Y	NOM_ilaaGEN
2	96		NOM	ACC	TR	TR
2	97		*	*	*	
2	98		NOM	ACC	TR	TR
2	99		NOM	maaGEN	Y	NOM_maaGEN
2	100		*	*	*	
2	101		NOM	alaaGEN	Y	NOM_alaaGEN
2	102		NOM	ACC	TR	TR
2	103		NOM	ACC	TR	TR
2	104		NOM	fiiGEN	Y	NOM_fiiGEN
2	105		NOM	ACC	TR	TR
2	106		NOM	ACC	TR	TR
2	107		NOM	ACC	TR	TR
2	108		NOM	ACC	TR	TR
2	109		NOM	ACC	TR	TR
2	110		NOM	ACC	TR	TR
2	111		*	*	*	
2	112		NOM	biGEN	Y	NOM_biGEN
2	113		NOM	ACC	TR	TR
2	114		NOM	alaaGEN	Y	NOM_alaaGEN
2	115		*	*	*	
2	116		NOM	ACC	TR	TR
2	117		*	*	*	
2	118		NOM	minGEN	Y	NOM_minGEN
2	119		NOM	ACC	TR	TR
2	120		NOM	biGEN	Y	NOM_biGEN
2	121		NOM	ACC	TR	TR
2	122		NOM	alaaGEN	Y	NOM_alaaGEN
2	123		NOM	alaaGEN	Y	NOM_alaaGEN
2	124		NOM	ACC	TR	TR
2	125		NOM	biGEN	Y	NOM_biGEN
2	126		NOM	ACC	TR	TR
2	127		*	*	*	
2	128		*	*	*	
2	129		*	*	*	
2	130		NOM	minGEN	Y	NOM_minGEN
26	1		*	*	*	
26	2		NOM	NOM	Y	NOM_NOM
26	3		NOM	ABL	Y	NOM_ABL
26	4		NOM	DAT~NOM	TR	TR
26	5		DAT	NOM	X	DAT_NOM
26	6		NOM	DAT	Y	NOM_DAT
26	7		NOM	DAT	Y	NOM_DAT
26	8		NOM	DAT~NOM	TR	TR
26	9		NOM	DAT~NOM	TR	TR
26	10		NOM	DATvra	Y	NOM_DATvra
26	11		NOM	DAT~NOM	TR	TR
26	12		NOM	NOM	Y	NOM_NOM
26	13		NOM	DAT~NOM	TR	TR
26	14		NOM	ABL	Y	NOM_ABL
26	15		NOM	DAT~NOM	TR	TR
26	16		NOM	DAT~NOM	TR	TR
26	17		NOM	DAT	Y	NOM_DAT
26	18		NOM	DAT~NOM	TR	TR
26	19		NOM	DAT	Y	NOM_DAT
26	20		NOM	DAT~NOM	TR	TR
26	21		NOM	DAT	Y	NOM_DAT
26	22		NOM	DAT	Y	NOM_DAT
26	23		NOM	DAThet	Y	NOM_DAThet
26	24		NOM	DAThet	Y	NOM_DAThet
26	25		NOM	DATmasin	Y	NOM_DATmasin
26	26		NOM	DAT~NOM	TR	TR
26	27		NOM	DAT~NOM	TR	TR
26	28		NOM	DAT~NOM	TR	TR
26	29		NOM	DATmasin	Y	NOM_DATmasin
26	30		NOM	ABL	Y	NOM_ABL
26	31		NOM	DAT~NOM	TR	TR
26	32		NOM	DAThet	Y	NOM_DAThet
26	33		NOM	DAT~NOM	TR	TR
26	34		NOM	NOM	Y	NOM_NOM
26	35		NOM	ABL	Y	NOM_ABL
26	36		NOM	DAT~NOM	TR	TR
26	37		NOM	DAT~NOM	TR	TR
26	38		NOM	DAT~NOM	TR	TR
26	39		NOM	DAT~NOM	TR	TR
26	40		NOM	DAT~NOM	TR	TR
26	41		NOM	DAT~NOM	TR	TR
26	42		NOM	ABL	Y	NOM_ABL
26	43		NOM	DAT~NOM	TR	TR
26	44		NOM	DAT~NOM	TR	TR
26	45		NOM	DAT	Y	NOM_DAT
26	46		NOM	DAT~NOM	TR	TR
26	47		NOM	INS	Y	NOM_INS
26	48		NOM	DATmasin	Y	NOM_DATmasin
26	49		NOM	DAT~NOM	TR	TR
26	50		NOM	DAT~NOM	TR	TR
26	51		NOM	NOM	Y	NOM_NOM
26	52		NOM	DAT~NOM	TR	TR
26	53		NOM	DATvra	Y	NOM_DATvra
26	54		NOM	INS	Y	NOM_INS
26	55		NOM	DAT~NOM	TR	TR
26	56		DAT	NOM	X	DAT_NOM
26	57		NOM	DAT~NOM	TR	TR
26	58		NOM	DAT~NOM	TR	TR
26	59		DAT	NOM	X	DAT_NOM
26	60		NOM	DAT~NOM	TR	TR
26	61		*	*	*	
26	62		NOM	DAT	Y	NOM_DAT
26	63		NOM	DAT~NOM	TR	TR
26	64		NOM	ABL	Y	NOM_ABL
26	65		NOM	ABL	Y	NOM_ABL
26	66		NOM	DAT~NOM	TR	TR
26	67		*	*	*	
26	68		NOM	DAT~NOM	TR	TR
26	69		NOM	DAT~NOM	TR	TR
26	70		NOM	DAT~NOM	TR	TR
26	71		NOM	DAT~NOM	TR	TR
26	72		NOM	DAT~NOM	TR	TR
26	73		NOM	DAT	Y	NOM_DAT
26	74		NOM	DAT~NOM	TR	TR
26	75		NOM	DAT~NOM	TR	TR
26	76		NOM	DAT~NOM	TR	TR
26	77		NOM	DAT	Y	NOM_DAT
26	78		NOM	DAT~NOM	TR	TR
26	79		NOM	DAT	Y	NOM_DAT
26	80		NOM	INS	Y	NOM_INS
26	81		NOM	DAT	Y	NOM_DAT
26	82		NOM	DAT	Y	NOM_DAT
26	83		DAT	NOM	X	DAT_NOM
26	84		NOM	DAThet	Y	NOM_DAThet
26	85		NOM	DAT~NOM	TR	TR
26	86		NOM	DAT~NOM	TR	TR
26	87		NOM	DAT~NOM	TR	TR
26	88		NOM	DAT~NOM	TR	TR
26	89		NOM	DAT	Y	NOM_DAT
26	90		NOM	ABL	Y	NOM_ABL
26	91		NOM	DAT~NOM	TR	TR
26	92		NOM	DAT~NOM	TR	TR
26	93		NOM	DAT~NOM	TR	TR
26	94		NOM	DAThet	Y	NOM_DAThet
26	95		NOM	DAT	Y	NOM_DAT
26	96		NOM	DAT~NOM	TR	TR
26	97		DAT	NOM	X	DAT_NOM
26	98		NOM	DAThet	Y	NOM_DAThet
26	99		NOM	DAThet	Y	NOM_DAThet
26	100		NOM	NOM	Y	NOM_NOM
26	101		NOM	DAT	Y	NOM_DAT
26	102		NOM	DAT~NOM	TR	TR
26	103		NOM	DAT~NOM	TR	TR
26	104		NOM	DATmej	Y	NOM_DATmej
26	105		NOM	DAT~NOM	TR	TR
26	106		NOM	DAT~NOM	TR	TR
26	107		NOM	DAT~NOM	TR	TR
26	108		NOM	DAT~NOM	TR	TR
26	109		NOM	DAT~NOM	TR	TR
26	110		NOM	DAT~NOM	TR	TR
26	111		NOM	ABL	Y	NOM_ABL
26	112		NOM	ABL	Y	NOM_ABL
26	113		NOM	DATvra	Y	NOM_DATvra
26	114		NOM	DAT	Y	NOM_DAT
26	115		NOM	DAT~NOM	TR	TR
26	116		NOM	DAT	Y	NOM_DAT
26	117		NOM	DATvra	Y	NOM_DATvra
26	118		DAT	NOM	X	DAT_NOM
26	119		NOM	DAT~NOM	TR	TR
26	120		NOM	DAT~NOM	TR	TR
26	121		NOM	DAT~NOM	TR	TR
26	122		NOM	DATvra	Y	NOM_DATvra
26	123		NOM	ABL	Y	NOM_ABL
26	124		NOM	DAT~NOM	TR	TR
26	125		NOM	ABL	Y	NOM_ABL
26	126		NOM	DAT~NOM	TR	TR
26	127		NOM	DATpatcarov	Y	NOM_DATpatcarov
26	128		NOM	DATvra	Y	NOM_DATvra
26	129		NOM	DAT	Y	NOM_DAT
26	130		NOM	ABL	Y	NOM_ABL
27	1	agri-	GEN	NOM	X	GEN_NOM
27	2	ol-	NOM	NOM	Y	NOM_NOM
27	3	qorx-	NOM	ABL	Y	NOM_ABL
27	4	at-	NOM	ACC	TR	TR
27	5	cat-	GEN	NOM	X	GEN_NOM
27	6	oxşa-	NOM	DAT	Y	NOM_DAT
27	7	inan-	NOM	DAT	Y	NOM_DAT
27	8	götür-	NOM	ACC	TR	TR
27	9	gör-	NOM	ACC	TR	TR
27	10	təsir eləy-	NOM	DAT	Y	NOM_DAT
27	11	görüş-	NOM	ile	Y	NOM_ile
27	12	gir-	NOM	DAT	Y	NOM_DAT
27	13	qazan-	NOM	ACC	TR	TR
27	14	çıx-	NOM	ABL	Y	NOM_ABL
27	15	teylə-	NOM	ACC	TR	TR
27	16	əy-	NOM	ACC	TR	TR
27	17	de-	NOM	DAT	Y	NOM_DAT
27	18	tut-	NOM	ACC	TR	TR
27	19	çat-	NOM	DAT	Y	NOM_DAT
27	20	sağ-	NOM	ACC	TR	TR
27	21	çat-	NOM	DAT	Y	NOM_DAT
27	22	toxun-	NOM	DAT	Y	NOM_DAT
27	23	dalaş-	NOM	ile	Y	NOM_ile
27	24	dostluq elə-	NOM	ile	Y	NOM_ile
27	25	düşün-	NOM	ACC	TR	TR
27	26	ye-	NOM	ACC	TR	TR
27	27	qızart-	NOM	ACC	TR	TR
27	28	gözləy-	NOM	ACC	TR	TR
27	29	unut-	NOM	ACC	TR	TR
27	30	asılı	NOM	ABL	Y	NOM_ABL
27	31	çağır-	NOM	ACC	TR	TR
27	32	tanış ol-	NOM	ile	Y	NOM_ile
27	33	tani-	NOM	ACC	TR	TR
27	34	çal-	NOM	ACC	TR	TR
27	35	qaç-	NOM	ABL	Y	NOM_ABL
27	36	hazırla-	NOM	ACC	TR	TR
27	37	məzələn-	NOM	ile	Y	NOM_ile
27	38	var	GEN	NOM	X	GEN_NOM
27	39	axtar-	NOM	ACC	TR	TR
27	40	rənglə-	NOM	ACC	TR	TR
27	41	dişlə-	NOM	ACC	TR	TR
27	42	məhrum edil-	NOM	ABL	Y	NOM_ABL
27	43	tut-	NOM	ACC	TR	TR
27	44	sındır-	NOM	ACC	TR	TR
27	45	yaltaqlan-	NOM	DAT	Y	NOM_DAT
27	46	sev-	NOM	ACC	TR	TR
27	47	yellə-	NOM	ACC	TR	TR
27	48	xəyal-i-ni  qur-	*	*	*	
27	49	yu-	NOM	ACC	TR	TR
27	50	geydir-	NOM	ACC	TR	TR
27	51	ad-	GEN	PRED	XY	GEN_PRED
27	52	cəzalandır-	NOM	ACC	TR	TR
27	53	hücum et-	NOM	DAT	Y	NOM_DAT
27	54	dol-	NOM	ile	Y	NOM_ile
27	55	tap-	NOM	ACC	TR	TR
27	56	catm-	GEN	NOM	X	GEN_NOM
27	57	nifrət ed-	NOM	ABL	Y	NOM_ABL
27	58	xoşla-	NOM	DAT	Y	NOM_DAT
27	59	ehtiyac-ı  var	GEN	DAT	XY	GEN_DAT
