language_no	predicate_no	verb	X	Y	locus	valency_pattern
69	1	узы	AdnominalPossessor	ABS	X	AdnominalPossessor_ABS
69	2	и-Iэ	POSS	ABS	X	POSS_ABS
69	3	щы-щынэ	ABS	LOC	Y	ABS_LOC
69	4	дзы	ERG	ABS	TR	TR
69	5	ф-и-къу	BEN	ABS	X	BEN_ABS
69	6	е-хьщыр	ABS	DAT	Y	ABS_DAT
69	7	цыхьэ фэ-шIы	ERG	BEN	Y	ERG_BEN
69	8	штэ	ERG	ABS	TR	TR
69	9	лъэгъу	ERG	ABS	TR	TR
69	10	*	*	*	*	
69	11	Iу-кIэ	ABS	LOC.FRONT	Y	ABS_LOC.FRONT
69	12	и-хьэ	ABS	LOC.CONT	Y	ABS_LOC.CONT
69	13	те-кIо	ABS	LOC.TOP	Y	ABS_LOC.TOP
69	14	и-кIы	ABS	LOC.CONT	Y	ABS_LOC.CONT
69	15	фы	ERG	ABS	TR	TR
69	16	уфэ	ERG	ABS	TR	TR
69	17	е-Iо	ERG	DAT	Y	ERG_DAT
69	18	Iыгъ	ERG	ABS	TR	TR
69	19	кIэлъы-хьэ	ABS	LOC.BEHIND.LOC.AFTER	Y	ABS_LOC.BEHIND.LOC.AFTER
69	20	щы	ERG	ABS	TR	TR
69	21	нэ-сы	ABS	LOC.TO	Y	ABS_LOC.TO
69	22	нэ-сы	ABS	LOC.TO	Y	ABS_LOC.TO
69	23	е-зэо	ABS	DAT	Y	ABS_DAT
69	24	ныбджэгъу	POSS	ABS	X	POSS_ABS
69	25	е-гупшысэ	ABS	DAT	Y	ABS_DAT
69	26	шхы	ERG	ABS	TR	TR
69	27	гъэ.жъэ	ERG	ABS	TR	TR
69	28	е-жэ	ABS	DAT	Y	ABS_DAT
69	29	щы-гъупшэ	LOC	ABS	X	LOC_ABS
69	30	е-лъытыгъ	ABS	DAT	Y	ABS_DAT
69	31	е-джэ	ABS	DAT	Y	ABS_DAT
69	32	нэIуасэ фэ-хъу	ABS	BEN	Y	ABS_BEN
69	33	шIэ	ERG	ABS	TR	TR
69	34	е-о	ABS	DAT	Y	ABS_DAT
69	35	зы-щы-дзые	ERG	LOC	Y	ERG_LOC
69	36	шIы	ERG	ABS	TR	TR
69	37	кIэнэкIалъэ шIы	ERG	ABS	TR	TR
69	38	и-Iэ	POSS	ABS	X	POSS_ABS
69	39	лъы-хъу	ABS	LOC.AFTER	Y	ABS_LOC.AFTER
69	40	гъэлэ	ERG	ABS	TR	TR
69	41	е-цэкъэ	ABS	DAT	Y	ABS_DAT
69	42	чIэ-нэ	ERG	ABS	TR	TR
69	43	къэ-убыты	ERG	ABS	TR	TR
69	44	зэ.пы-кIы.кIы	ERG	ABS	TR	TR
69	45	нэпцIыкIэ щы-тхъу	ABS	LOC	Y	ABS_LOC
69	46	шIу лъэгъу	ERG	ABS	TR	TR
69	47	Iэ шIы	ERG	INSTR.CASE	Y	ERG_INSTR.CASE
69	48	кIэ-нэцы	ABS	LOC.BEHIND	Y	ABS_LOC.BEHIND
69	49	тхьакIы	ERG	ABS	TR	TR
69	50	зы.щы-лъэ	ERG	ABS	TR	TR
69	51	е-Iо	DAT	ABS	X	DAT_ABS
69	52	те-лъхьэ	ERG	LOC.TOP	Y	ERG_LOC.TOP
69	53	те-бэнэ	ABS	LOC.TOP	Y	ABS_LOC.TOP
69	54	и-зы хъу	LOC.CONT	ABS	X	LOC.CONT_ABS
69	55	гъоты	ERG	ABS	TR	TR
69	56	ф-и-къу + NEG	BEN	ABS	X	BEN_ABS
69	57	фэ-лъэгъу + NEG 	BEN	ABS	X	BEN_ABS
69	58	гу рихьы	*	*	*	
69	59	и-щыкIагъэ	POSS	ABS	X	POSS_ABS
69	60	ухъурэяхьы	ERG	ABS	TR	TR
69	61	фэ-нэ-жьы	BEN	ABS	X	BEN_ABS
69	62	джэуап е-ты	ERG	DAT	Y	ERG_DAT
69	63	къы-зэ.те-хы	ERG	ABS	TR	TR
69	64	фэ-дэ + NEG	ABS	BEN	Y	ABS_BEN
69	65	ужы къ-и-нэ	ABS	PPweze	Y	ABS_PPweze
69	66	жъо	ERG	ABS	TR	TR
69	67	пы-у	*	*	*	
69	68	зэ.пы.ры-кIы	ABS	REC.IO.LOC.TIP.PRV.INSTR	Y	ABS_REC.IO.LOC.TIP.PRV.INSTR
69	69	къэ-Iо	ERG	ABS	TR	TR
69	70	тхы	ERG	ABS	TR	TR
69	71	и-шъу	ERG	ABS	TR	TR
69	72	гъэ-ткIу	ERG	ABS	TR	TR
69	73	е-кIу	ABS	DAT	Y	ABS_DAT
69	74	дэ-кIы	ABS	LOC.ENCLOSURE	Y	ABS_LOC.ENCLOSURE
69	75	чIэ-ухъумэ	ERG	ABS	TR	TR
69	76	къэ-шIэ.жьы	ERG	ABS	TR	TR
69	77	къы-д-е-Iэ	ABS	COM.DAT	Y	ABS_COM.DAT
69	78	къы-гу-ры-Iо	LOC.HEART.PRV.INSTR	ABS	X	LOC.HEART.PRV.INSTR_ABS
69	79	е-о	ABS	DAT	Y	ABS_DAT
69	80	зы-уIо	ERG	INSTR.CASE	Y	ERG_INSTR.CASE
69	81	те-пкIэ	ABS	LOC.TOP	Y	ABS_LOC.TOP
69	82	те-кIо	LOC.TOP	ABS	X	LOC.TOP_ABS
69	83	кIэ-гушIу	ABS	LOC.BEHIND	Y	ABS_LOC.BEHIND
69	84	дэ-гущыIэ	ABS	COM	Y	ABS_COM
69	85	къы-фэ-хъу	BEN	ABS	X	BEN_ABS
69	86	Iэ.пы-зы	LOC.HAND.LOC.TIP	ABS	X	LOC.HAND.LOC.TIP_ABS
69	87	и-тхьэмат	ABS	POSS	Y	ABS_POSS
69	88	фэ-зэщы	ABS	BEN	Y	ABS_BEN
69	89	ы-ужы и-ты	ABS	PPweze	Y	ABS_PPweze
69	90	къ-е-псы.хы-	ABS	DAT	Y	ABS_DAT
69	91	е-дэIу	ABS	DAT	Y	ABS_DAT
69	92	е-дэIу	ABS	DAT	Y	ABS_DAT
69	93	зэ.хэ-хы	ERG	ABS	TR	TR
69	94	хэ-кIокIэ	ABS	LOC.AMONG	Y	ABS_LOC.AMONG
69	95	е-плъы	ABS	DAT	Y	ABS_DAT
